,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,MSR Electrolyzer,MSR Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,SVG Electrolyzer,SVG Fuel Cell
51,0.0,0.0,0.0,0.0,0.0,0.0,-5.4549515653861,-7.5646598461591505,-36.26639001389794,-23.72315972751987,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
52,0.0,0.0,0.0,0.0,0.0,0.0,-5.73733666185241,-7.5646598461591505,-1.4639659377042753,-23.72315972751987,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5646598461591505,0.0,-23.72315972751987,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5646598461591505,0.0,0.0,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
55,0.0,0.0,-18.96854049530134,-11.381124297180804,0.0,0.0,-1.4275829221377876,0.0,0.0,0.0,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
56,-20.525233402833745,-12.315140041700246,-72.94130018013803,-42.45700669419013,0.0,0.0,-3.6267363921607507,0.0,0.0,0.0,0.0,-0.23977226321027328,0.0,0.0,0.0,-4.260023073530308,0.0,-5.277400947069378
57,-44.07151403230614,-26.442908419383684,-72.94130018013803,-42.45700669419013,0.0,0.0,-6.447071467730552,0.0,-29.674579173168887,0.0,0.0,-0.23977226321027328,-62.62370239033712,0.0,0.0,-4.260023073530308,0.0,0.0
58,-44.07151403230614,-26.442908419383684,-72.94130018013803,-42.45700669419013,0.0,0.0,-7.155765932975185,0.0,-36.26639001389794,0.0,0.0,-0.23977226321027328,0.0,0.0,0.0,0.0,0.0,0.0
59,-44.07151403230614,-26.442908419383684,-23.73823825524813,-18.16626319482692,0.0,0.0,-7.139354609329473,0.0,0.0,0.0,0.0,-0.17965185715721146,0.0,0.0,0.0,0.0,0.0,0.0
60,-44.07151403230614,-26.442908419383684,0.0,0.0,-17.172423784101966,0.0,0.0,0.0,-36.26639001389794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
