,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
10,-0.0,41.58585226124091,12.201930769250344,-0.0,-0.0,21.2,89.22517097628304,-0.0,-0.0,1.7383667521181256,-0.0,-0.0,-0.0,97.95585786318767,276.94438601611046,-0.0,6.6,6.6,-0.0,123.6,198.18888888888884,-0.0,-0.0,-0.0,48.0,-0.0,-0.0,-0.0,254.67499999999987,-0.0,-0.0,12.592212280153328,15.714038882773265,-0.0,-0.0,13.932291833028492,13.467708166971507,-0.0
11,-0.0,43.475970956071876,11.451812074419381,-0.0,-0.0,18.75,93.45517097628303,-0.0,-0.0,1.8924676928191102,-0.0,-0.0,-0.0,87.318117642751,306.45888541391975,-0.0,6.6,7.200000000000001,-0.0,67.54444444444442,260.9444444444444,-0.0,-0.0,-0.0,50.0,-0.0,-0.0,-0.0,326.0,-0.0,-0.0,12.841563018374186,16.364688144552403,-0.0,-0.0,-0.0,28.0,-0.0
12,-0.0,49.92037584227177,5.447407188219486,-0.0,-0.0,-0.0,112.28517097628304,-0.0,0.15641181892883904,1.919502945573669,-0.0,-0.0,-0.0,78.89657330157196,318.7565934963403,-0.0,6.6,6.9,-0.0,64.95555555555552,264.8333333333333,-0.0,-0.0,-0.0,49.116866466139555,23.94476815969873,-0.0,-0.0,274.975,54.525,-0.0,12.467536911042899,16.738714251883692,-0.0,-0.0,-0.0,28.4,-0.0
13,-0.0,44.106271649643645,9.551511380847606,-0.0,-0.0,-0.0,110.71517097628303,-0.0,-0.0,1.8113619345554341,-0.0,-0.0,-0.0,73.79932277927941,310.39415200029435,-0.0,6.6,6.300000000000001,-0.0,74.33333333333329,246.55555555555551,-0.0,-0.0,-0.0,47.73431763227785,28.082818318729892,-0.0,-0.0,323.3,-0.0,-0.0,11.894030213134926,16.112220949791663,-0.0,-0.0,14.53282165341765,12.06717834658235,-0.0
14,-0.0,39.39247535039602,8.351321469118064,-0.0,-0.0,9.827682947439556,97.54748802884347,-0.0,0.7981590058572265,1.5383058817343909,-0.0,-0.0,-0.0,73.13446401550212,262.67904464050264,-0.0,6.6,5.5,-0.0,107.2,202.48888888888882,-0.0,-0.0,-0.0,46.5700659827101,26.34706996829764,-0.0,-0.0,266.0,49.5,-0.0,8.674118998667186,18.332132164259402,-0.0,-0.0,-0.0,25.5,-0.0
15,-0.0,25.099630311756755,7.526190904804004,-0.0,-0.0,13.8,70.49792462396488,-0.0,-0.0,1.0273396046732313,-0.0,-0.0,-0.0,74.68580113098245,196.27142099543175,-0.0,6.6,5.0,-0.0,108.2,145.4444444444444,-0.0,-0.0,-0.0,40.56305462839797,30.854081322609765,-0.0,-0.0,181.83,47.175,-0.0,8.378184804220828,17.84016816550103,-0.0,-0.0,-0.0,24.8,-0.0
16,-0.0,10.946227663738362,7.051115731411059,-0.0,-0.0,13.15,27.049563404878608,-0.0,1.5132743992462856,0.39471469021655725,-0.0,13.21102744602807,-0.0,76.45875783438856,95.43021471958336,-0.0,6.6,5.300000000000001,-0.0,111.80000000000001,68.05555555555553,-0.0,-0.0,-0.0,45.84240870173025,15.835163430122472,-0.0,-0.0,78.09,45.449999999999996,-0.0,4.1142871806441565,17.633025429181718,-0.0,-0.0,-0.0,24.4,-0.0
17,-0.0,1.115539124966967,7.201139470377252,11.64938855802983,-0.0,13.25,1.690597712804913,-0.0,1.5132743992462856,0.02973877803001459,-0.0,15.0,-0.0,78.45333412572045,5.902899879561858,-0.0,6.6,5.300000000000001,-0.0,115.8,5.0555555555555545,-0.0,-0.0,-0.0,46.715597438906066,1.469241967743322,-0.0,-0.0,4.5600000000000005,44.925,-0.0,0.4238962549754586,17.76248963938129,-0.0,-0.0,-0.0,24.6,-0.0
18,-0.0,-0.0,7.826238382736389,11.64938855802983,-0.0,13.850000000000001,-0.0,-0.0,1.5132743992462856,-0.0,-0.0,15.0,-0.0,80.89114959290384,-0.0,-0.0,6.6,7.4,-0.0,119.6,-0.0,-0.0,-0.0,-0.0,47.87984908847382,-0.0,-0.0,-0.0,-0.0,46.125,-0.0,-0.0,18.099096585900174,-0.0,-0.0,-0.0,29.2,-0.0
19,-0.0,-0.0,8.551353121072989,11.64938855802983,-0.0,14.85,-0.0,-0.0,1.5132743992462856,-0.0,-0.0,15.0,-0.0,84.2154434117903,-0.0,-0.0,6.6,7.9,-0.0,123.8,-0.0,-0.0,-0.0,-0.0,49.18963219423754,-0.0,-0.0,-0.0,-0.0,47.925000000000004,-0.0,-0.0,18.565167742618634,-0.0,-0.0,-0.0,30.2,-0.0
