,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,SKN solar pv,SKN wind,BRB solar pv,BRB wind
6203,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0272,0.2408,0.0848,0.3808,0.1368,0.4176,0.1552,0.3088,0.2064,0.0168,0.3896,0.2464
6204,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0224,0.2384,0.0776,0.3816,0.1248,0.3776,0.1448,0.2888,0.2344,0.0152,0.3864,0.2488
6205,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.024,0.2312,0.0848,0.3496,0.136,0.316,0.1536,0.2368,0.248,0.0144,0.3632,0.2504
6206,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0296,0.1992,0.0984,0.2368,0.1504,0.2,0.168,0.1704,0.216,0.0144,0.3168,0.268
6207,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0352,0.1528,0.1056,0.1424,0.1656,0.116,0.192,0.112,0.156,0.0152,0.2376,0.2952
6208,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0432,0.0888,0.1136,0.0704,0.188,0.056,0.2232,0.0544,0.0832,0.0176,0.1304,0.3216
6209,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.052,0.0208,0.1256,0.0152,0.2184,0.0112,0.2552,0.0128,0.0224,0.0248,0.0248,0.352
6210,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.064,0.0,0.1432,0.0,0.2456,0.0,0.2824,0.0,0.0,0.0368,0.0,0.4008
6211,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0824,0.0,0.16,0.0,0.2592,0.0,0.3,0.0,0.0,0.056,0.0,0.4456
6212,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1104,0.0,0.1768,0.0,0.2688,0.0,0.3176,0.0,0.0,0.0808,0.0,0.48
6213,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1384,0.0,0.192,0.0,0.2736,0.0,0.332,0.0,0.0,0.1,0.0,0.4976
6214,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1568,0.0,0.1976,0.0,0.276,0.0,0.3408,0.0,0.0,0.116,0.0,0.4984
6215,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1648,0.0,0.2088,0.0,0.2928,0.0,0.3536,0.0,0.0,0.1288,0.0,0.5032
6216,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1784,0.0,0.2168,0.0,0.324,0.0,0.3752,0.0,0.0,0.1496,0.0,0.5048
6217,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1888,0.0,0.2256,0.0,0.3528,0.0,0.396,0.0,0.0,0.1664,0.0,0.4984
6218,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1968,0.0,0.2344,0.0,0.3736,0.0,0.4152,0.0,0.0,0.1768,0.0,0.4952
6219,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1984,0.0,0.2416,0.0,0.3904,0.0,0.4344,0.0,0.0,0.176,0.0,0.4992
6220,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1928,0.0,0.2424,0.0,0.4008,0.0,0.4496,0.0,0.0,0.1784,0.0,0.4976
6221,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1896,0.0,0.2344,0.0,0.3976,0.0,0.4472,0.0,0.0,0.1848,0.0,0.4816
6222,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.192,0.0064,0.228,0.0128,0.3744,0.0168,0.42,0.0288,0.0056,0.192,0.044,0.4712
6223,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1864,0.0512,0.2152,0.0864,0.348,0.1024,0.3928,0.144,0.0544,0.196,0.1752,0.5032
6224,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1856,0.112,0.2224,0.1752,0.3464,0.196,0.3976,0.2744,0.1296,0.1976,0.3096,0.5424
6225,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1904,0.1648,0.2424,0.2448,0.3616,0.2664,0.4176,0.3864,0.212,0.2016,0.4168,0.5464
6226,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1992,0.208,0.256,0.2912,0.3784,0.3552,0.4376,0.4928,0.28,0.2144,0.4576,0.52
6227,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1984,0.2464,0.2704,0.3512,0.396,0.4536,0.4376,0.5352,0.3232,0.2144,0.4856,0.4896
6228,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1928,0.2608,0.2744,0.3856,0.3816,0.4768,0.4032,0.5216,0.3312,0.204,0.4872,0.4632
6229,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1896,0.2616,0.2544,0.3728,0.3424,0.4496,0.3736,0.4856,0.304,0.2,0.4536,0.4352
6230,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1784,0.2288,0.228,0.2944,0.3216,0.3728,0.3656,0.4072,0.2624,0.1864,0.3776,0.4248
6231,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.1616,0.1512,0.2168,0.2312,0.3224,0.2872,0.3608,0.2928,0.1936,0.1568,0.2712,0.4392
6232,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.144,0.0808,0.228,0.1344,0.3336,0.164,0.3592,0.1576,0.1016,0.1216,0.1512,0.468
