,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
22,-0.0,-0.0,12.037039982350372,10.0,-0.0,18.25,-0.0,-0.0,1.0140530839145336,-0.0,-0.0,15.0,44.25885019911185,109.27825190577614,-0.0,-0.0,6.6,7.200000000000001,-0.0,131.6,-0.0,-0.0,-0.0,-0.0,50.6,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,17.51136676287158,-0.0,-0.0,-0.0,28.8,-0.0
23,-0.0,-0.0,12.376909346557913,10.0,-0.0,18.95,-0.0,-0.0,1.5,-0.0,-0.0,15.0,45.51241225330027,113.47177398793912,-0.0,-0.0,6.6,6.300000000000001,-0.0,131.4,-0.0,-0.0,-0.0,-0.0,57.89881064087947,-0.0,-0.0,-0.0,45.449999999999996,-0.0,-0.0,17.218697680483757,-0.0,-0.0,-0.0,27.1,-0.0
24,-0.0,-0.0,12.178652217436847,10.0,-0.0,19.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,115.93855168332908,-0.0,-0.0,6.6,5.6,-0.0,128.8,-0.0,-0.0,-0.0,-0.0,58.809034747072694,-0.0,-0.0,-0.0,43.199999999999996,-0.0,-0.0,16.706526786305062,-0.0,-0.0,-0.0,24.9,-0.0
25,-0.0,-0.0,11.527235936039062,8.346568985083579,-0.0,18.9,-0.0,-0.0,1.5,-0.0,-0.0,15.0,45.51241225330027,116.18522945286809,-0.0,-0.0,6.6,4.9,-0.0,124.2,-0.0,-0.0,-0.0,-0.0,55.89507356591143,-0.0,-0.0,-0.0,40.650000000000006,-0.0,-0.0,15.8041304489426,-0.0,-0.0,-0.0,23.7,-0.0
26,-0.0,-0.0,10.762529866572098,10.0,-0.0,18.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,-0.0,114.45848506609511,-0.0,-0.0,6.6,4.700000000000001,-0.0,118.8,-0.0,-0.0,-0.0,-0.0,52.80450867680101,-0.0,-0.0,-0.0,38.25,-0.0,-0.0,14.852955931182164,-0.0,-0.0,-0.0,22.9,-0.0
27,-0.0,-0.0,9.997823797105132,10.0,-0.0,17.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,45.51241225330027,111.49835183162713,-0.0,-0.0,6.6,4.300000000000001,-0.0,114.8,-0.0,-0.0,40.04685903737541,-0.0,50.59696232743641,-0.0,-0.0,-0.0,36.6,-0.0,-0.0,14.17006140561057,-0.0,-0.0,-0.0,22.8,-0.0
28,-0.0,-0.0,9.431374856759234,10.0,-0.0,16.400000000000002,-0.0,-0.0,1.5,-0.0,-0.0,15.0,45.51241225330027,108.29154082762015,-0.0,-0.0,6.6,4.700000000000001,-0.0,111.00000000000001,-0.0,-0.0,40.04685903737541,-0.0,49.449038225766834,-0.0,-0.0,-0.0,35.475,-0.0,-0.0,13.706668691829847,-0.0,-0.0,-0.0,23.5,-0.0
29,-0.0,-0.0,8.694991234309564,10.0,-0.0,15.299999999999999,-0.0,-0.0,1.5,-0.0,-0.0,15.0,45.51241225330027,100.8912077414502,-0.0,-0.0,6.6,5.1,-0.0,102.8,-0.0,-0.0,40.04685903737541,-0.0,46.888284460503904,-0.0,-0.0,-0.0,33.75,-0.0,-0.0,13.04816325645724,-0.0,-0.0,-0.0,24.4,-0.0
30,-0.0,-0.0,8.071897399929073,10.0,26.175552560646658,14.6,0.30840970350404323,-0.0,1.427464147468581,0.0025358525314189253,-0.0,15.0,45.51241225330027,94.23090796389727,1.1972613210074305,-0.0,6.6,5.9,-0.0,93.8,3.138364270706837,-0.0,23.928414194568617,-0.0,43.88602142536806,0.8940418686867331,-0.0,11.0510476249689,31.349999999999998,-0.0,0.2102408291630154,12.560381452477529,-0.0,-0.0,-0.0,25.5,-0.0
31,-0.0,10.144414431958014,7.845317823790714,10.0,-0.0,14.649999999999999,24.82698113207548,-0.0,1.5,0.3423400917415549,-0.0,15.0,45.51241225330027,90.77741919035128,57.86763051535914,-0.0,6.6,7.1,-0.0,87.4,80.4205844368627,-0.0,27.679415563137297,-0.0,41.14866395215597,18.59607086868405,-0.0,123.14024496393917,28.875,-0.0,4.718738610103236,12.292101460288688,-0.0,-0.0,3.247781723274816,31.141997948723937,-0.0
32,-0.0,23.69130326966592,7.760350482738829,10.0,-0.0,15.0,57.055795148248,-0.0,0.9874322596047267,0.9002276486537184,-0.0,15.0,45.51241225330027,91.27077472942928,132.8960066318248,-0.0,6.6,8.5,-0.0,84.8,159.66428227221033,-0.0,-0.0,-0.0,39.29432501868971,37.46035429797411,-0.0,229.96703867197184,26.849999999999998,-0.0,9.717798325757157,12.12137782889579,-0.0,-0.0,15.069594927616478,30.502969263045607,-0.0
33,-0.0,34.02474405749893,7.335513777479404,10.0,-0.0,15.15,81.42016172506742,-0.0,1.4618016643077603,1.3541452517777062,-0.0,15.0,45.51241225330027,91.27077472942928,194.3554211102062,-0.0,6.6,9.200000000000001,-0.0,82.0,220.86238555099362,-0.0,-0.0,-0.0,37.175080523299705,51.318003262618475,-0.0,307.8506124098479,24.45,-0.0,13.291892421528418,11.731152385712022,-0.0,-0.0,22.012633757574314,29.56572719071739,-0.0
34,-0.0,40.76668408370705,6.372550578891373,9.703312735354551,-0.0,14.35,98.07428571428575,-0.0,1.139392425353407,1.6559117030165582,-0.0,15.0,-0.0,86.58389710818831,239.85135130848857,-0.0,6.6,9.6,-0.0,76.2,259.30734786715243,-0.0,29.076886601515,-0.0,34.26111934213845,59.08301978796495,-0.0,343.0154967669729,-0.0,-0.0,15.744702095096935,11.023868769941442,3.1114144013030707,-0.0,29.908767914443715,22.269593033847997,-0.0
35,-0.0,43.72809699241528,5.551199615389819,8.293250790147873,-0.0,7.182156334231792,107.018167115903,-0.0,1.0854916187780295,1.8004552973074368,-0.0,15.0,45.51241225330027,80.91030840879137,266.19110037065207,-0.0,6.6,10.1,-0.0,70.19999999999999,278.92212455907014,-0.0,21.062109909597325,-0.0,28.97312458465862,64.37101454544478,-0.0,327.2404967669729,19.875,-0.0,16.74918605665356,9.99952698158405,-0.0,-0.0,32.16690293417829,20.411458014113414,-0.0
36,-0.0,43.03500035420698,5.013073122061214,9.74447392168478,-0.0,11.65,103.0703234501348,-0.0,1.1559218491550567,1.7700250669304096,-0.0,15.0,45.51241225330027,73.26329755308242,274.57192961770403,-0.0,6.6,10.4,-0.0,64.4,278.5298290252318,-0.0,30.45440544343566,-0.0,27.815084001993842,64.90743966665681,-0.0,348.3154967669729,-0.0,-0.0,16.725825964524336,8.75568338143579,-0.0,-0.0,32.44340926312538,20.934951685166332,-0.0
37,-0.0,39.56951716316542,4.559913969784494,10.0,-0.0,10.6,97.45746630727767,-0.0,1.3313259041999896,1.5646210118854769,-0.0,15.0,45.51241225330027,65.12293115829549,253.4203129465728,-0.0,6.6,10.299999999999999,-0.0,57.8,253.81521039341544,-0.0,40.04685903737541,-0.0,24.283009843010497,60.794847070697855,-0.0,345.21367818950466,1.3018185774682252,-0.0,15.72134200296771,7.3655052400936185,-0.0,-0.0,30.369611796022202,22.7087491522695,-0.0
38,-0.0,33.45766498987395,4.305011946628839,10.0,-0.0,9.85,77.41083557951485,-0.0,1.5,1.217209215081084,-0.0,15.0,45.51241225330027,58.95598691982053,206.727121427283,-0.0,6.6,9.799999999999999,-0.0,51.4,216.54713467877178,-0.0,40.04685903737541,-0.0,20.927539391976318,52.12264094443653,-0.0,294.694603332504,19.875,-0.0,13.548853434949882,6.170439820343329,8.0,-0.0,26.222016861815828,25.75634408647588,-0.0
39,-0.0,25.39254047254087,4.276689499611544,10.0,-0.0,9.4,49.34555256064692,-0.0,1.2910630424773628,0.8089369575226372,-0.0,15.0,45.51241225330027,54.26910929857957,130.50148398980994,3.7,6.6,9.799999999999999,-0.0,47.0,157.31050906918023,-0.0,40.04685903737541,-0.0,18.719993042611726,38.71201291413554,-0.0,214.7060681422529,21.224999999999998,-0.0,10.185000168341636,5.41437802417478,7.700621807483584,-0.0,19.631949355243485,25.901962726161635,-0.0
40,-0.0,13.546888837707906,4.389979287680724,10.0,30.25119946091643,9.45,21.89708894878707,-0.0,1.5,0.4006646999641902,-0.0,15.0,45.51241225330027,51.80233160318959,45.49593019828236,3.7,6.6,9.0,-0.0,45.6,78.06681123383258,41.4,40.04685903737541,-0.0,17.748672648891308,20.473558792926188,-0.0,106.30055334493893,23.025,-0.0,5.419541373979953,5.121708941786953,8.0,-0.0,10.645493664463018,26.11497228805441,-0.0
