,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,MSR wind,MSR solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,LCA wind,LCA solar pv,SKN wind,SKN solar pv,SVG wind,SVG solar pv,GRD wind,GRD solar pv,BRB wind,BRB solar pv
3128,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.476,0.3448,0.4776,0.3432,0.488,0.3312,0.5432,0.3208,0.5384,0.3296,0.5448,0.3312,0.4688,0.34,0.544,0.3288,0.5984,0.3232,0.5368,0.344
3129,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4672,0.4664,0.468266666,0.4616,0.4784,0.4448,0.5424,0.4504,0.5368,0.4416,0.54,0.4424,0.4592,0.46,0.536,0.4432,0.5904,0.4384,0.5472,0.4536
3130,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4512,0.5464,0.451733334,0.5424,0.4656,0.5224,0.536,0.5232,0.532,0.5,0.532,0.5216,0.4384,0.5416,0.5208,0.5232,0.5872,0.5144,0.552,0.5256
3131,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4272,0.5872,0.4264,0.584,0.4464,0.5616,0.524,0.5672,0.5288,0.5512,0.528,0.5632,0.4056,0.584,0.512,0.5592,0.5872,0.5496,0.552,0.5584
3132,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4024,0.592,0.401866666,0.5888,0.432,0.5648,0.5184,0.5696,0.5344,0.5632,0.5328,0.568,0.3712,0.5912,0.5136,0.5656,0.5864,0.5552,0.56,0.5536
3133,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3832,0.5584,0.383733334,0.556,0.4232,0.5304,0.516,0.536,0.5416,0.5288,0.5448,0.5336,0.3448,0.5608,0.5224,0.5304,0.5744,0.5288,0.5736,0.5136
3134,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3744,0.4864,0.377333334,0.4856,0.424,0.4576,0.5192,0.4632,0.548,0.4592,0.56,0.4592,0.3336,0.492,0.5432,0.4568,0.5608,0.4616,0.5832,0.4264
3135,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3808,0.3776,0.3848,0.3776,0.4328,0.3496,0.5312,0.3552,0.56,0.352,0.5784,0.348,0.3408,0.3848,0.5696,0.3464,0.5632,0.3528,0.5896,0.312
3136,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4008,0.2344,0.404266666,0.236,0.4512,0.2152,0.5496,0.2184,0.5752,0.2104,0.5984,0.2064,0.3608,0.244,0.5944,0.2064,0.568,0.2176,0.6016,0.18
3137,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4368,0.0808,0.437866666,0.0832,0.4808,0.0728,0.5696,0.072,0.5896,0.0664,0.6152,0.0632,0.396,0.0896,0.6144,0.0632,0.5632,0.0712,0.6152,0.0496
3138,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4744,0.0016,0.476,0.0024,0.512,0.0008,0.5864,0.0008,0.6008,0.0,0.624,0.0,0.4416,0.0032,0.6288,0.0,0.5536,0.0,0.6312,0.0
3139,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5088,0.0,0.510666666,0.0,0.5392,0.0,0.6024,0.0,0.6112,0.0,0.6312,0.0,0.484,0.0,0.6408,0.0,0.544,0.0,0.6512,0.0
3140,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5352,0.0,0.5376,0.0,0.5616,0.0,0.616,0.0,0.6216,0.0,0.64,0.0,0.516,0.0,0.6536,0.0,0.5368,0.0,0.6664,0.0
3141,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5528,0.0,0.556,0.0,0.5752,0.0,0.6224,0.0,0.628,0.0,0.6464,0.0,0.54,0.0,0.6616,0.0,0.5384,0.0,0.6736,0.0
3142,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5592,0.0,0.5648,0.0,0.5784,0.0,0.62,0.0,0.6288,0.0,0.6488,0.0,0.5568,0.0,0.66,0.0,0.548,0.0,0.6768,0.0
3143,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5528,0.0,0.561066666,0.0,0.5728,0.0,0.6136,0.0,0.6264,0.0,0.6504,0.0,0.5576,0.0,0.6592,0.0,0.5664,0.0,0.6776,0.0
3144,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5424,0.0,0.552,0.0,0.564,0.0,0.6072,0.0,0.6224,0.0,0.6496,0.0,0.5496,0.0,0.6608,0.0,0.5904,0.0,0.6776,0.0
