,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind
1227,-0.0,2.0372000000000003,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,120.46389042833604,-0.0,-0.0,-0.0,9.0,128.74439331959047,-0.0,-0.0,60.0,-0.0,-0.0,9.407394778338148,-0.0,128.85,-0.0,-0.0,-0.0,-0.0,-0.0,17.031545235404693
1228,-0.0,2.0196,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,123.07722968030603,-0.0,-0.0,-0.0,9.0,58.35560668040951,-0.0,-0.0,60.0,76.79541520791904,-0.0,9.407394778338148,-0.0,65.02825000000001,-0.0,-0.0,39.97659954849938,-0.0,-0.0,10.303400451500618
1229,-0.0,2.0152,36.0,-0.0,1.4727347826086956,-0.0,-0.0,60.0,152.68388450969942,-0.0,-0.0,-0.0,9.0,77.55560668040948,-0.0,-0.0,60.0,51.05706565941965,-0.0,9.407394778338148,-0.0,124.35,-0.0,-0.0,-0.0,-0.0,-0.0,37.39659954849938
1230,0.0195,2.0086000000000004,36.0,6.321017843262137,1.4727347826086956,0.004,-0.0,60.0,151.3297037158218,19.987626245731665,-0.0,-0.0,9.0,99.49838669572111,7.070447118137645,-0.0,60.0,42.72815923561093,-0.0,9.407394778338148,22.8,122.69999999999999,-0.0,-0.0,10.900355520807462,-0.0,-0.0,15.90340045150062
1231,0.3345,2.0064,36.0,36.37097841224366,1.4727347826086956,0.057,-0.0,60.0,-0.0,195.3972237616694,-0.0,-0.0,9.0,133.18894001374284,-0.0,-0.0,60.0,46.72815923561093,-0.0,9.407394778338148,53.42174999999999,121.35000000000001,-0.0,12.400355520807462,-0.0,-0.0,6.82158895487752,11.5818114966231
1232,-0.0,-0.0,36.0,125.90543479692384,1.4727347826086956,0.1095,-0.0,60.0,-0.0,199.1027762383306,-0.0,-0.0,9.0,149.38894001374283,-0.0,-0.0,60.0,-0.0,42.51191520791902,9.407394778338148,185.07175,-0.0,-0.0,22.016599548499382,-0.0,-0.0,12.862741885256343,7.440658566244281
1233,0.885,2.0306,36.0,42.81627841224366,1.4727347826086956,0.108163043478261,-0.0,60.0,-0.0,180.2972237616694,-0.0,-0.0,9.0,165.72227334707617,-0.0,-0.0,60.0,52.22815923561093,-0.0,9.407394778338148,188.47175000000001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,35.903755972308076
1234,1.041,2.0416000000000003,36.0,64.3700510157396,1.4727347826086956,0.1755,-0.0,60.0,151.6682489142912,15.134527324039407,-0.0,-0.0,9.0,165.92227334707616,-0.0,-0.0,60.0,-0.0,45.61191520791901,9.407394778338148,60.32175000000001,127.35,-0.0,22.516599548499382,-0.0,-0.0,20.32024167491058,1.583158776590036
1235,1.1205,2.035,36.0,45.51579145572192,1.4727347826086956,0.18875,-0.0,60.0,151.8375215135259,68.95970224814347,-0.0,-0.0,9.0,135.75560668040953,-0.0,-0.0,60.0,-0.0,46.11191520791901,9.407394778338148,190.37175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,44.620000000000005
1236,1.1325,-0.0,36.0,116.64937841224365,1.4727347826086956,0.1905,-0.0,60.0,-0.0,222.4972237616694,-0.0,-0.0,9.0,141.88894001374285,-0.0,-0.0,60.0,-0.0,46.01191520791902,9.407394778338148,70.97175000000001,124.19999999999999,-0.0,23.21659954849938,-0.0,-0.0,21.80340045150062,-0.0
