,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
6878,34.138917956226855,13.9217854982393,-0.0,-0.0,33.31554315321336,10.994456846786639,-0.0,1.4885489469276614,0.8306999328440856,-0.0,-0.0,64.69831612025668,353.9368157808754,-0.0,6.6,4.947474747474749,1.2525252525252517,167.43472987062202,124.4013757453836,-0.0,-0.0,32.696331306038374,44.4318065734408,-0.0,-0.0,96.03111380145279,30.3,19.682683323561726,4.71219108663288,-0.0,-0.0,27.954607326806418,22.671360280875156,-0.0
6879,22.75927863748457,14.02970631605511,-0.0,-0.0,35.112512826473136,7.817487173526863,-0.0,1.0264177379141717,0.844668613188636,-0.0,-0.0,65.68859646903611,243.63458894505467,-0.0,6.6,4.6880230880230895,1.41197691197691,155.73623346044755,83.04723993901631,-0.0,-0.0,31.779611736710194,29.356729343166247,-0.0,-0.0,65.91065375302664,29.55,13.630385350683573,4.398045014190688,-0.0,-0.0,19.636407097854264,18.988058050368828,-0.0
6880,10.747437134367713,14.180795460997242,-0.0,-0.0,39.39480084593196,3.855199154068042,-0.0,0.5107765994359622,0.8595103351543956,-0.0,-0.0,67.44909486686623,119.99912589831051,-0.0,6.6,4.589610389610391,1.510389610389609,149.15582922972442,42.7100091114941,-0.0,-0.0,31.270323087083426,15.075077230274559,-0.0,75.50891949152545,31.537893462469732,30.9,7.730666318298145,4.2802402370248664,-0.0,-0.0,10.772751116183937,15.3047558198625,-0.0
6881,1.7912395223946191,14.202379624560404,-0.0,-0.0,43.91316309611892,0.6068369038810807,-0.0,0.08756170276045067,0.873479015498946,-0.0,-0.0,69.97981131374702,18.18168574216826,-0.0,6.6,4.741702741702743,1.6582972582972575,152.44603134508597,7.118334851915684,-0.0,-0.0,33.103762225739786,2.7203146881698452,-0.0,-0.0,3.8979418886198545,36.9,1.5766490517581744,5.065605418130346,-0.0,-0.0,2.795460732680642,12.19300048719336,-0.0
6882,-0.0,14.310300442376212,-0.0,-0.0,52.44,-0.0,1.35,-0.0,0.8966146420331405,-0.0,-0.0,73.50080810940725,-0.0,-0.0,6.6,5.135353535353536,3.564646464646465,164.14452775526047,-0.0,-0.0,-0.0,36.56692504320179,-0.0,-0.0,-0.0,-0.0,44.85,-0.0,6.675604039396581,-0.0,-0.0,-0.0,9.081245154524222,10.12324998741307
6883,-0.0,14.41822126019202,-0.0,-0.0,54.25,-0.0,-0.0,-0.0,0.9145120122922603,-0.0,-0.0,76.36161800588117,-0.0,-0.0,6.6,5.484271284271285,3.8157287157287154,175.11186813979901,-0.0,-0.0,-0.0,39.01151056141027,-0.0,-0.0,75.50891949152545,-0.0,52.199999999999996,-0.0,8.521212214994458,-0.0,-0.0,-0.0,6.60454193056307,10.12324998741307
6884,-0.0,14.396637096628858,-0.0,-0.0,52.85,-0.0,-0.0,-0.0,0.9232424376712997,-0.0,-0.0,78.0120852538469,-0.0,-0.0,6.6,5.7347763347763365,3.165223665223664,182.789006408976,-0.0,-0.0,-0.0,40.64123424021592,-0.0,-0.0,-0.0,-0.0,57.6,-0.0,10.523893426813434,-0.0,-0.0,-0.0,4.8263960261807055,-0.0
6885,-0.0,13.986537988928786,19.497472866691965,-0.0,52.13,-0.0,1.2323704148035604,-0.0,0.9145120122922603,-0.0,-0.0,78.23214755357567,-0.0,-0.0,6.6,5.860028860028862,2.7399711399711375,186.81036454997349,-0.0,-0.0,-0.0,41.048665159917334,-0.0,-0.0,75.50891949152545,-0.0,60.900000000000006,-0.0,12.016087270913845,-0.0,-0.0,-0.0,3.4927865978939314,-0.0
6886,-0.0,13.360597245597097,1.967181874147398,-0.0,50.53,-0.0,0.9664809953806369,-0.0,0.8835190046193632,-0.0,-0.0,75.59139995683051,-0.0,-0.0,6.6,5.70793650793651,2.39206349206349,183.15458442179397,-0.0,-0.0,-0.0,40.23380332051451,-0.0,-0.0,75.50891949152545,-0.0,62.849999999999994,-0.0,12.95852548824042,-0.0,-0.0,-0.0,2.603713645702749,10.12324998741307
6887,-0.0,12.669904011575921,19.497472866691965,-0.0,46.69,-0.0,-0.0,-0.0,0.8494703473435422,-0.0,-0.0,73.28074580967848,-0.0,-0.0,6.6,5.564790764790766,1.3352092352092342,181.32669435770418,-0.0,-0.0,-0.0,40.131945590589154,-0.0,-0.0,-0.0,-0.0,63.9,-0.0,13.586817633124804,-0.0,-0.0,-0.0,2.095671958736359,10.12324998741307
