,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
5240,0.40800000000000003,0.7612,36.0,98.59407625005967,1.1216232487074786,0.5641088353436073,0.17107178598359787,-0.0,60.0,-0.0,215.4875207876687,-0.0,-0.0,15.341967161663463,9.0,188.342730516146,-0.0,-0.0,48.99434515270898,12.775062726824725,21.596981250121456,18.765655641336974,199.07175,-0.0,-0.0,14.218932276850273,-0.0,-0.0,18.70618678253161,8.088924322295725,0.7194797365857468
5241,0.5895,0.7282000000000001,36.0,139.69976362923862,1.1216232487074786,0.8017238110028118,0.16445064590002986,-0.0,60.0,83.38269991423644,117.38810518298342,-0.0,-0.0,15.316524430052082,9.0,205.22572668290087,-0.0,-0.0,48.99434515270898,-0.0,29.63716176986776,18.765655641336974,204.67175,-0.0,-0.0,-0.0,-0.0,-0.0,26.803659417161736,15.462270004839436,0.7194797365857468
5242,0.7244999999999999,0.6798000000000001,36.0,151.3349999832397,1.1216232487074786,0.9831092886052579,0.15598174575016938,-0.0,60.0,-0.0,245.87080509721983,-0.0,-0.0,15.163868040383788,9.0,-0.0,186.29881407036072,-0.0,48.99434515270898,-0.0,34.03872044856099,18.765655641336974,99.32175000000001,103.94999999999999,-0.0,19.25225580523546,-0.0,-0.0,28.495111104827338,-0.0,0.7194797365857468
5243,-0.0,-0.0,36.0,141.37237977835733,1.1216232487074786,1.0574773344222608,0.14735886528682451,-0.0,60.0,75.45117480044323,123.17802010233693,-0.0,-0.0,14.60412794493338,9.0,203.74273051614597,-0.0,-0.0,48.99434515270898,42.267165906704115,-0.0,18.765655641336974,104.42175,100.65,-0.0,-0.0,-0.0,-0.0,-0.0,41.718921451919684,0.7194797365857468
5244,0.8220000000000001,0.6094,36.0,166.3666101776794,1.1216232487074786,1.0738020274064808,0.13981384517011028,-0.0,60.0,-0.0,520.0291949027801,-0.0,-0.0,13.789960533369152,9.0,205.44273051614596,-0.0,-0.0,48.99434515270898,3.636252892254781,37.38390504436784,18.765655641336974,113.12174999999999,96.15,-0.0,-0.0,-0.0,-0.0,-0.0,43.56592942200117,0.7194797365857468
5245,-0.0,0.5830000000000001,36.0,75.45002655621161,1.1216232487074786,1.0012478363655026,0.13411658465774848,-0.0,60.0,-0.0,509.5669692531282,-0.0,-0.0,13.179334974695978,9.0,-0.0,206.308796567896,-0.0,48.99434515270898,21.094708504775173,-0.0,18.765655641336974,109.97175,93.3,-0.0,-0.0,-0.0,-0.0,-0.0,43.56592942200117,0.7194797365857468
5246,0.6435,0.5654,36.0,121.52186958391763,1.1216232487074786,0.8452563256273988,0.13211484473991164,-0.0,60.0,68.73988431954128,434.8747424896404,-0.0,-0.0,12.899464926970774,9.0,5.117338033558042,174.165295671785,-0.0,48.99434515270898,1.4315671221227149,31.104347996098838,18.765655641336974,295.26,91.8,-0.0,5.484242818401071,-0.0,-0.0,-0.0,42.56592942200117,0.7194797365857468
5247,0.4605,0.5720000000000001,36.0,95.84352978745491,1.1216232487074786,0.625779897728439,0.13442454482277721,-0.0,60.0,-0.0,322.0064887137032,-0.0,-0.0,12.924907658582157,9.0,177.23777445216234,-0.0,-0.0,48.99434515270898,37.3671659067041,-0.0,18.765655641336974,218.88,91.8,-0.0,-0.0,-0.0,-0.0,22.037425524626283,15.881495927293399,0.7194797365857468
5248,0.25949999999999995,0.5940000000000001,36.0,64.04146946756141,1.1216232487074786,0.37184022908501446,0.13981384517011028,-0.0,60.0,71.58709846295422,142.70065144900232,-0.0,-0.0,13.10300677986183,9.0,205.92867598923903,-0.0,-0.0,48.99434515270898,5.649969645128509,-0.0,18.765655641336974,125.4,91.95,-0.0,-0.0,17.85506113557491,-0.0,13.324954968378684,13.070156136448652,0.7194797365857468
5249,0.093,0.627,36.0,21.744312888985966,1.1216232487074786,0.13059754387376118,0.1456650850720764,-0.0,60.0,73.2140779734759,62.24352230290654,-0.0,-0.0,13.230220437918742,9.0,196.128675989239,-0.0,-0.0,48.99434515270898,-0.0,1.7499696451285196,18.765655641336974,34.769999999999996,93.45,-0.0,2.8906620562827476,14.064399079292158,-0.0,-0.0,24.895111104827336,0.7194797365857468
5250,0.0015,0.6952,36.0,0.29786729984912286,1.1216232487074786,0.001813854776024461,0.15474990555199442,-0.0,60.0,75.45117480044323,-0.0,-0.0,-0.0,13.382876827587037,9.0,181.042730516146,-0.0,-0.0,48.99434515270898,79.01871907219753,-0.0,18.765655641336974,-0.0,94.8,-0.0,-0.0,28.944938864425087,-0.0,-0.0,40.36592942200117,0.7194797365857468
5251,-0.0,0.803,36.0,-0.0,1.1216232487074786,-0.0,0.16953198608233416,-0.0,60.0,79.11187869911701,-0.0,-0.0,-0.0,13.688189606923622,9.0,199.842730516146,-0.0,-0.0,48.99434515270898,31.73591511822154,-0.0,18.765655641336974,-0.0,89.9277420299185,-0.0,-0.0,52.74700797008149,-0.0,-0.0,29.295111104827335,0.7194797365857468
5252,-0.0,0.8800000000000001,36.0,-0.0,1.1216232487074786,-0.0,0.18123446634820647,-0.0,60.0,82.7725825977908,-0.0,-0.0,-0.0,14.095273312705737,9.0,194.44273051614599,-0.0,-0.0,48.99434515270898,74.28746828371497,-0.0,18.765655641336974,-0.0,96.60000000000001,-0.0,-0.0,37.87618965290765,-0.0,-0.0,42.465929422001174,0.7194797365857468
5253,-0.0,0.8778000000000001,36.0,-0.0,1.1216232487074786,-0.0,0.18046456662854463,-0.0,60.0,82.3658377201604,-0.0,-0.0,-0.0,14.222486970762649,9.0,182.44273051614599,-0.0,-0.0,48.99434515270898,79.31871907219754,-0.0,18.765655641336974,-0.0,97.2,-0.0,-0.0,42.71575718159893,-0.0,-0.0,26.495111104827338,0.7194797365857468
5254,-0.0,0.8228000000000001,36.0,-0.0,1.1216232487074786,-0.0,0.16907004606576104,-0.0,60.0,77.28152674978013,-0.0,-0.0,-0.0,13.76451780175777,9.0,176.142730516146,-0.0,-0.0,48.99434515270898,78.21871907219753,-0.0,18.765655641336974,-0.0,95.55,-0.0,-0.0,28.444938864425087,-0.0,-0.0,39.06592942200117,0.7194797365857468
5255,-0.0,0.77,36.0,-0.0,1.1216232487074786,-0.0,0.16137104563556243,-0.0,60.0,75.65454723925843,-0.0,-0.0,-0.0,13.331991364364272,9.0,163.94273051614599,-0.0,-0.0,48.99434515270898,66.98746828371497,-0.0,18.765655641336974,-0.0,91.5,-0.0,-0.0,49.24700797008149,-0.0,-0.0,23.495111104827334,0.7194797365857468
5256,-0.0,0.7282000000000001,36.0,-0.0,1.1216232487074786,-0.0,0.15859940553612373,-0.0,60.0,76.46803699451928,-0.0,-0.0,-0.0,13.026678585027685,9.0,174.42867598923903,-0.0,-0.0,48.99434515270898,40.80152281062193,-0.0,18.765655641336974,-0.0,87.3,-0.0,-0.0,33.57618965290765,-0.0,-0.0,35.76592942200117,0.7194797365857468
5257,-0.0,0.6842,36.0,-0.0,1.1216232487074786,-0.0,0.15444194538696565,-0.0,60.0,76.67140943333449,-0.0,-0.0,-0.0,12.670480342468334,9.0,163.02867598923902,-0.0,-0.0,48.99434515270898,37.601522810621944,-0.0,18.765655641336974,-0.0,86.1,-0.0,-0.0,32.276189652907654,-0.0,-0.0,34.46592942200117,0.7194797365857468
5258,-0.0,0.6688000000000001,36.0,-0.0,1.1216232487074786,-0.0,0.15274816563415758,-0.0,60.0,76.67140943333449,-0.0,-0.0,-0.0,12.670480342468334,9.0,158.228675989239,-0.0,-0.0,48.99434515270898,44.2327735991045,-0.0,18.765655641336974,-0.0,87.14999999999999,-0.0,-0.0,-0.0,-0.0,-0.0,33.56592942200117,0.7194797365857468
