,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,MSR wind,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,BRB biomass,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
3517,-0.0,3.305422183307185,1.5370290379765832,23.76754877871623,21.587424554183816,8.649999999999999,16.342575445816184,-0.0,1.2638994253405171,0.389,0.04710057465948281,59.5,15.0,45.0,45.9,37.400000000000006,10.0,4.6,9.0,-0.0,41.4,75.10807291666667,29.691927083333326,45.0,0.8414084864194749,11.837660599571736,10.42093091400879,27.0,13.167999999999992,84.774,18.658,10.0,-0.0,4.335689800694904,9.905218317358893,4.959091881946203,-0.0,6.388860382389714,9.051568602772768,12.059571014837518
3518,-0.0,2.7241537153765254,1.6158510399241002,23.09999524469938,20.070006858710567,9.75,13.269993141289437,-0.0,1.284699712590517,0.314,0.05130028740948282,50.3891304347826,15.0,45.0,49.35,29.460869565217397,10.0,3.8000000000000007,9.0,-0.0,41.6,64.95833333333333,29.941666666666663,45.0,-0.0,11.662473233404713,8.975940493632368,25.96158627296292,17.249999999999986,74.266,17.784000000000002,10.0,-0.0,3.7112943439605246,9.602768903088393,4.785936752951084,-0.0,5.5131287411898775,8.849016018654776,12.237855240155348
3519,-0.0,2.212290437646541,1.8194745449551861,22.488235017398274,20.640106310013717,11.55,10.909893689986282,-0.0,1.2945028736163793,0.235,0.06049712638362076,44.71521739130435,15.0,45.0,59.85,21.234782608695657,10.0,3.3000000000000007,9.0,-0.0,44.3,49.53072916666667,38.66927083333333,45.0,0.7291167023554621,12.087928265524626,6.782955032119915,27.0,33.26200000000001,55.948,17.29,10.0,-0.0,2.785224677792681,9.659478168264112,5.255297153943206,-0.0,4.199531279390123,8.671782507551534,13.028686213058343
3520,-0.0,1.422806399113854,2.16760505355672,22.789588547329426,22.975943072702332,13.05,6.724056927297667,0.01917959775431033,1.35,0.139,0.07182040224568974,36.66739130434783,15.0,45.0,74.85,13.582608695652176,10.0,3.4000000000000004,9.0,10.092100694444433,49.7,29.907899305555556,41.4,45.0,1.0650278936098303,13.08899892933619,4.045973177053984,27.0,55.456,32.092,17.252,10.0,-0.0,1.6697316708177785,10.018636847710331,5.711631481471889,-0.0,2.5376314602949797,8.709761117073656,14.652607422631364
3521,-0.0,0.6246467118060822,2.4434820603730296,23.41187122782089,26.198659122085047,13.875000000000002,2.7163408779149516,0.12530172413793084,1.35,0.054,0.08069827586206905,33.3804347826087,15.0,45.0,88.64999999999999,5.069565217391305,10.0,3.4000000000000004,9.0,25.750260416666656,56.39999999999999,10.149739583333334,41.4,45.0,4.283510932041025,14.490497858672377,1.3259912092866,27.0,80.08600000000001,9.088000000000001,18.125999999999998,10.0,-0.0,0.5402073052645754,10.68024494142705,6.679547753308373,-0.0,0.8657801452771107,8.937632774206397,15.996587080516495
3522,2.535630230546957,0.0347025951003379,2.607694564430357,24.30197260992235,33.86093964334705,13.5,0.08906035665294924,0.3552816091422413,1.35,0.002,0.08271839085775871,55.15434782608696,15.0,45.0,92.85,0.0956521739130435,10.0,4.6,9.0,48.26467013888891,61.5,0.13532986111111112,41.4,45.0,8.791324523836352,15.591675588865098,0.01699988729854615,27.0,98.102,-0.0,19.798000000000002,10.0,0.09442202039136127,0.00701567928915033,11.398562300319488,8.0,2.638671663218222,0.009951495922725411,9.064228139280143,16.48714870157891
3523,5.480921824673537,-0.0,2.6471055654041153,24.30197260992235,40.81,12.45,-0.0,0.5603117815560343,1.35,-0.0,0.0796882184439656,79.89999999999998,15.0,45.0,89.7,-0.0,10.0,6.5,9.0,66.9,65.8,-0.0,41.4,45.0,14.00725374732334,16.592746252676662,-0.0,27.0,112.71199999999999,-0.0,21.887999999999998,10.0,1.8886048988285413,-0.0,12.21139510117146,8.0,6.425856670244194,-0.0,8.886994628176899,16.48714870157891
3524,6.486606826296466,-0.0,2.5814205637811845,24.30197260992235,41.964999999999996,11.225,-0.0,0.5963189655172412,1.35,-0.0,0.0736810344827587,92.80000000000001,15.0,45.0,81.60000000000001,-0.0,10.0,6.6,9.1,70.29999999999998,68.10000000000001,-0.0,41.4,45.0,14.306504282655247,17.293495717344754,-0.0,27.0,116.274,-0.0,23.826,10.0,1.5891906283280068,-0.0,12.910809371671993,8.0,7.3056427654654215,-0.0,8.507208532955666,16.48714870157891
3525,6.227682330029207,-0.0,2.4303450600484435,24.30197260992235,42.36,9.950000000000001,-0.0,0.5833362068965515,1.35,-0.0,0.06666379310344835,100.30000000000001,15.0,45.0,72.89999999999999,-0.0,10.0,6.4,9.0,67.5,67.0,-0.0,41.4,45.0,12.556236616702357,17.543763383297645,-0.0,27.0,109.04399999999998,-0.0,25.156000000000002,10.0,0.5788072417465386,-0.0,13.421192758253461,8.0,7.44745025116454,-0.0,8.165401047256553,16.48714870157891
3526,6.28787433522259,-0.0,2.2201530548550648,24.30197260992235,43.435,8.924999999999999,-0.0,0.5299281608663791,1.35,-0.0,0.06007183913362076,100.75,15.0,45.0,65.25,-0.0,10.0,5.9,9.0,65.5,64.1,-0.0,41.4,45.0,12.35645074946467,17.343549250535332,-0.0,27.0,108.036,-0.0,25.764000000000003,10.0,0.4031948881789127,-0.0,13.496805111821086,8.0,7.075321908297276,-0.0,7.937529390123812,16.48714870157891
