,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Martinique Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen
41,2.6645352591003757e-15,-8.881784197001252e-15,1.7763568394002505e-15,-5.551115123125783e-17,7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0
42,2.6645352591003757e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,7.105427357601002e-15,7.105427357601002e-15,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0
43,2.6645352591003757e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-3.1988300897012323e-15,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,3.552713678800501e-14,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
46,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,1.0658141036401503e-14,0.0,0.0,0.0,0.0,0.0
49,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
50,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
54,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
55,1.7763568394002505e-15,0.0,2.842170943040401e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,5.329070518200751e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,5.329070518200751e-15,1.7763568394002505e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
