,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
5333,-0.0,13.802308309240148,13.737691690759851,30.049999999999997,-0.0,1.5,-0.0,-0.0,-0.0,156.6251474493749,-0.0,-0.0,6.6,6.200000000000001,140.79999999999998,-0.0,-0.0,-0.0,65.61191992232342,-0.0,-0.0,-0.0,53.775,-0.0,-0.0,36.156,-0.0,-0.0,8.100000000000001,-0.0
5334,1.9774202799802312,13.828155328545842,11.374424391473926,30.049999999999997,7.287920766442258,1.5,0.11234246901963918,-0.0,-0.0,154.1778795204784,21.986115037572116,-0.0,6.6,6.300000000000001,141.4,15.826528075854629,-0.0,-0.0,66.11191992232342,-0.0,-0.0,15.96,53.849999999999994,-0.0,-0.0,36.456,-0.0,1.5498390342052317,9.3,-0.0
5335,10.18371444189819,14.267554656742625,4.9187309013591864,31.05,29.93253171931642,1.2077955561989215,0.5098619747814394,-0.0,-0.0,157.11460103515418,50.35517870639687,-0.0,6.6,7.0,145.79999999999998,67.92218299220944,-0.0,-0.0,68.21191992232343,-0.0,-0.0,47.29256670067937,54.375,-0.0,-0.0,37.356,-0.0,8.113863179074448,10.98,-0.0
5336,20.169686855798357,12.035464117774847,-0.0,32.9,33.63106750650728,1.5,0.946269258280807,-0.0,-0.0,69.21833479272556,159.6029091616346,-0.0,6.6,8.3,151.8,83.85885681272049,-0.0,-0.0,-0.0,39.86070989450812,-0.0,149.34,23.47759118329995,-0.0,15.157185545194723,-0.0,-0.0,15.498390342052316,13.44,-0.0
5337,17.057540061960523,15.94761091161268,-0.0,-0.0,68.75106750650728,0.6322064236490241,1.2919383937258506,-0.0,-0.0,14.517191907797638,222.30405204656253,-0.0,6.6,8.6,43.72725586453765,197.83160094818285,-0.0,-0.0,-0.0,37.98808007767657,-0.0,191.90340654532622,-0.0,-0.0,-0.0,3.943999999999999,-0.0,15.54,16.560000000000002,-0.0
5338,33.425150973573196,-0.0,-0.0,36.5,31.601067506507277,-0.0,1.5295859243443182,-0.0,-0.0,-0.0,237.4212439543602,-0.0,6.6,8.9,164.39999999999998,78.45885681272051,-0.0,-0.0,38.788080077676575,-0.0,-0.0,133.10340654532624,59.400000000000006,-0.0,-0.0,3.6439999999999984,-0.0,11.419999999999998,20.580000000000002,-0.0
5339,40.096538141269676,17.705208224399815,-0.0,37.9,5.986117998480365,1.5,1.6635327143292726,-0.0,-0.0,193.57889317571178,73.2673002866753,-0.0,6.6,8.6,168.2,74.75885681272052,-0.0,-0.0,75.11191992232342,-0.0,-0.0,58.79256670067937,59.775000000000006,-0.0,-0.0,40.156,-0.0,31.270281690140852,0.3297183098591496,-0.0
5340,41.328083851586825,18.196301591207984,-0.0,-0.0,43.19611799848037,0.5406821055788555,1.7326665414182816,-0.0,-0.0,-0.0,257.0461934623871,-0.0,6.6,8.5,-0.0,312.16850729408213,-0.0,-0.0,38.188080077676574,-0.0,-0.0,189.30340654532623,-0.0,-0.0,-0.0,3.7439999999999998,-0.0,31.999617706237427,0.7701821369725897,-0.0
5341,39.15292154360858,18.66154793871046,-0.0,38.45,2.5261179984803626,0.2578255572846011,1.6721744427153988,-0.0,-0.0,-0.0,255.24619346238708,-0.0,6.6,8.0,103.97320170944585,369.2856551032747,-0.0,-0.0,-0.0,36.688080077676574,-0.0,336.87,-0.0,-0.0,31.270907055516933,-0.0,-0.0,29.902776659959763,2.8043970331758814,-0.0
5342,34.01162881565997,19.049253228295857,-0.0,-0.0,109.57611799848037,1.5,1.5684737020818855,-0.0,-0.0,-0.0,283.82444247037523,-0.0,6.6,8.0,121.45355515340049,346.20530165932,-0.0,-0.0,71.61191992232342,-0.0,-0.0,243.2425667006794,55.125,-0.0,-0.0,38.656,-0.0,24.88859154929578,6.8185821438398655,-0.0
5343,26.892915807731143,19.38526447926987,-0.0,37.7,90.57844381149663,1.5,1.2789758011466614,-0.0,-0.0,180.85309994545005,310.248512196851,-0.0,6.6,7.800000000000001,156.4,272.34817063866507,-0.0,-0.0,-0.0,71.31191992232343,-0.0,222.87,53.4,-0.0,28.408896336136397,10.1471036638636,-0.0,18.68923541247485,12.517938280660793,-0.0
5344,18.686621645813183,19.6437346723268,-0.0,37.45,56.741668824443295,0.9301480255804538,0.8598519744195462,-0.0,-0.0,180.11891956678113,198.68933589509615,-0.0,6.6,7.6,151.6,165.5191061266463,-0.0,-0.0,72.45959961161714,-0.0,-0.0,127.11,52.574999999999996,-0.0,-0.0,38.656,-0.0,-0.0,30.807173693135642,-0.0
5345,7.711939091922901,19.824663807466653,-0.0,37.35,20.822630761263596,1.5,0.34134827125198064,-0.0,-0.0,179.14001239522253,69.21554734050481,-0.0,6.6,7.800000000000001,147.0,52.75509358618209,-0.0,-0.0,74.2,-0.0,-0.0,35.339999999999996,52.65,-0.0,-0.0,38.756,-0.0,-0.0,31.007173693135645,-0.0
5346,0.1977420279980231,20.0314399619122,-0.0,37.45,0.26028288451579495,1.5,0.004320864193063046,-0.0,-0.0,178.89528560233288,-0.0,-0.0,6.6,8.5,145.0,-0.0,-0.0,-0.0,73.1,-0.0,-0.0,-0.0,54.375,-0.0,-0.0,39.756,-0.0,-0.0,33.60717369313564,-0.0
