,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
6604,-0.0,0.015844591817069237,24.34640761255869,41.697679052878705,0.3687661754086423,-0.0,1.35,-0.0,0.005743338517324809,15.0,90.0,1.5404360981013525,-0.0,10.0,3.4000000000000004,9.0,26.0,-0.0,41.4,72.90762233960548,16.863526102208937,-0.0,13.811791855884717,75.50891949152545,-0.0,30.3,-0.0,7.557218171297478,8.0,-0.0,15.001875741722197,3.6706780825648067
6605,-0.0,0.031689183634138474,24.34640761255869,41.697679052878705,0.4609577192608029,-0.0,1.35,-0.0,0.008615007345236847,15.0,90.0,2.3106541471520217,-0.0,10.0,4.6,9.0,33.6,-0.0,41.4,72.90762233960548,19.77103060258979,-0.0,13.811791855884717,75.50891949152545,-0.0,33.3,-0.0,8.809301655299427,8.0,-0.0,16.686578365124152,3.6706780825648067
6606,0.43704221258781745,0.04753377545120771,24.34640761255869,41.697679052878705,0.7375323508172846,0.7128295716324717,1.35,0.03406272073941738,0.01148667617314889,15.0,90.0,2.8608098964739344,12.121123828112173,10.0,5.300000000000001,9.0,40.0,6.069131715391545,41.4,72.90762233960548,23.40541122806585,2.522623460667688,13.811791855884717,75.50891949152545,9.922033898305084,37.95,0.6113229935880868,10.10610240658716,8.0,1.3906571606730287,18.130609185182976,3.6706780825648067
6607,5.754389132406263,0.03961147954267309,24.34640761255869,41.697679052878705,0.9219154385216058,7.66291789504907,1.35,0.36982382517081724,0.013496845128037978,15.0,90.0,3.5209967956602273,103.02955253895347,10.0,6.5,9.0,44.4,36.41479029234927,41.4,72.90762233960548,26.458290953465742,16.71238042692343,13.811791855884717,75.50891949152545,49.610169491525426,42.449999999999996,5.145301862699731,11.26875135601754,7.163873631170602,11.12525728538423,19.01307246410781,3.6706780825648067
6608,12.164341583694252,0.06337836726827695,24.34640761255869,41.697679052878705,1.1984900700780874,16.929702326271205,1.35,0.8126391947832432,0.017517181314814684,15.0,90.0,4.401245994575284,218.1802289060191,10.0,6.6,10.4,48.8,70.22852413524502,41.4,72.90762233960548,28.63891932875138,29.010169797678408,13.811791855884717,75.50891949152545,99.22033898305085,46.5,9.679280731811376,11.805358563446948,8.0,20.30359454582622,20.05598361192807,3.6706780825648067
6609,19.157016985099332,0.09506755090241542,24.34640761255869,41.697679052878705,2.212597052451854,25.48365718586086,1.35,1.2992494910606343,0.02555785541136957,15.0,90.0,5.831650942812251,300.60387093718185,10.0,6.6,11.1,53.6,97.53961685450697,41.4,72.90762233960548,29.947296353922763,41.93861503360031,13.811791855884717,75.50891949152545,135.36489104116222,50.550000000000004,14.21325960092302,11.671206761589596,8.0,21.694251706499248,20.45710328416663,3.6706780825648067
6610,24.911406117505596,0.09506755090241542,24.34640761255869,41.697679052878705,2.8579378594169778,32.70105659863964,1.35,1.6106800806781647,0.03130119306719365,15.0,90.0,7.2620558910492194,383.02751296834464,10.0,6.6,11.500000000000002,56.8,117.48104963365063,41.4,72.90762233960548,30.38342202897989,48.560501617852985,13.811791855884717,75.50891949152545,161.23305084745763,51.300000000000004,16.760438740873383,11.850075830732731,8.0,25.680802233761934,20.45710328416663,3.6706780825648067
6611,28.91762639956059,0.0871452549938808,24.34640761255869,41.697679052878705,2.5813632278604963,37.958174689429114,1.35,1.8150564051146687,0.03072685981851168,15.0,90.0,7.4821181907779835,403.63342347613536,10.0,6.6,11.700000000000001,52.800000000000004,132.22036951388722,41.4,72.90762233960548,27.766667978637127,52.81742870772971,13.811791855884717,75.50891949152545,175.40738498789347,46.35,17.524592482858488,10.732144148588134,8.0,26.422486052787544,20.858222956405193,3.6706780825648067
6612,29.06330713708986,0.07130066317681157,24.34640761255869,41.697679052878705,1.9360224208953722,36.88893033198041,1.35,1.800458096226347,0.025845022035710555,15.0,90.0,6.601868991862926,392.7244120308344,10.0,6.6,11.700000000000001,46.400000000000006,131.3533506974027,41.4,72.90762233960548,23.114660778027766,54.23640440435528,13.811791855884717,75.50891949152545,154.8546004842615,39.6,19.0019563840297,9.032887991728346,8.0,23.17761934455048,21.981358038673168,3.6706780825648067
6613,28.189222711914226,0.06337836726827695,24.34640761255869,41.697679052878705,1.4750647016345693,33.85940465254241,1.35,1.6690733162314515,0.021250351738751144,15.0,90.0,5.501557493219106,370.9063891402325,10.0,6.6,11.6,42.4,116.61403081716611,41.4,72.90762233960548,20.352531502665958,48.718165584144714,13.811791855884717,75.50891949152545,133.94745762711864,33.6,17.830253979652532,7.870239042297964,8.0,19.747331681557007,23.58583672762741,3.6706780825648067
6614,23.090396898389688,0.03961147954267309,24.34640761255869,41.697679052878705,1.106298526225927,28.42407916884481,1.35,1.3381783147628257,0.017230014690473704,15.0,90.0,4.73133944416843,312.72499476529407,10.0,6.6,11.4,40.400000000000006,96.67259803802246,41.4,72.90762233960548,19.625655377570745,39.100663640349154,13.811791855884717,75.50891949152545,92.84188861985473,29.85,12.786839282550817,7.646652705869045,8.0,15.111807812646912,25.190315416581658,3.6706780825648067
6615,16.46192334080779,0.015844591817069237,24.34640761255869,41.697679052878705,0.5531492631129635,19.87012430925515,1.35,0.9488900777409127,0.012635344393514294,15.0,90.0,3.9611213951177553,215.75600414039667,10.0,6.6,10.799999999999999,40.0,65.02641123633798,41.4,72.90762233960548,20.352531502665958,26.01455443813553,13.811791855884717,75.50891949152545,52.090677966101694,27.45,8.201916830640165,7.736087240440613,8.0,10.105442034224009,25.67165902326793,3.6706780825648067
6616,9.250726833108802,-0.0,24.34640761255869,41.697679052878705,0.18438308770432116,9.890510306400545,1.35,0.46714588442629545,0.009189341455419553,15.0,90.0,3.300934495931463,107.87800207019833,10.0,6.6,10.6,41.6,33.38022443465349,41.4,72.90762233960548,21.370158077799253,13.08610920221363,13.811791855884717,75.50891949152545,21.615859564164648,27.15,3.8207687099255425,7.780804507726397,8.0,4.728234346288297,25.59143508882022,3.6706780825648067
6617,2.33089180046836,-0.0,24.34640761255869,41.697679052878705,0.09219154385216058,2.58400719716771,1.35,0.10705426518102604,0.00976367470410152,15.0,90.0,3.6310279455246097,18.18168574216826,10.0,6.6,9.700000000000001,47.199999999999996,5.202112898907038,41.4,72.90762233960548,24.132287353161065,2.207295528084227,13.811791855884717,75.50891949152545,2.1261501210653755,28.95,0.5603794107890796,8.138542646012668,8.0,0.8343942964038171,24.548523940999956,3.6706780825648067
6618,-0.0,-0.0,24.34640761255869,41.697679052878705,0.18438308770432116,-0.0,1.35,-0.0,0.013209677642196271,15.0,90.0,4.84137059403281,-0.0,10.0,6.6,11.500000000000002,58.8,-0.0,41.4,72.90762233960548,29.365795453846594,-0.0,13.811791855884717,75.50891949152545,-0.0,31.349999999999998,-0.0,9.345908862728832,8.0,-0.0,23.184717055388848,3.6706780825648067
