,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
4481,0.1575,1.6258000000000001,39.45957523809529,20.078906364531605,1.5559771428571434,0.02475,15.0,170.29998952591802,16.707600000000003,28.123824292842393,-0.0,8.0,9.0,10.127,24.42386651516405,-0.0,126.03307024171933,0.46199999999999997,41.70912736375762,34.35540994974513,61.81997075534369,-0.0,0.1296,18.0,8.0,1.6356052100840384,11.214565285684442,24.0
4482,0.009000000000000001,1.6698000000000002,39.45957523809529,0.8279961387435714,1.5894771428571435,0.00125,15.0,180.0,16.751800000000003,0.9170812269405129,-0.0,8.0,9.0,10.348,0.30529833143955065,-0.0,135.0,0.006,43.56512736375762,-0.0,65.05572680038922,-0.0,0.0018000000000000002,18.0,8.0,-0.0,11.299524113606294,24.0
4483,-0.0,1.7138000000000002,39.45957523809529,-0.0,1.7107271428571433,-0.0,15.0,120.0,17.061200000000003,-0.0,-0.0,8.0,9.0,10.673,-0.0,-0.0,90.0,-0.0,36.0,-0.0,68.03602842082591,-0.0,-0.0,18.0,8.0,-0.0,11.197573520100072,24.0
4484,-0.0,1.7622000000000002,39.45957523809529,-0.0,1.6707271428571433,-0.0,15.0,120.0,17.459000000000003,-0.0,-0.0,8.0,9.0,10.985,-0.0,-0.0,90.0,-0.0,36.0,-0.0,70.16481529256639,-0.0,-0.0,18.0,8.0,-0.0,10.891721739581405,24.0
4485,-0.0,1.8084,39.45957523809529,-0.0,1.5507271428571434,-0.0,15.0,120.0,17.7021,-0.0,-0.0,8.0,9.0,11.128,-0.0,-0.0,90.0,-0.0,36.0,-0.0,71.35693594074105,-0.0,-0.0,18.0,8.0,-0.0,10.568878193478367,24.0
4486,-0.0,1.8326,39.45957523809529,-0.0,1.5207271428571434,-0.0,15.0,176.85498908447096,17.856800000000003,-0.0,-0.0,8.0,9.0,11.18,-0.0,-0.0,131.89331696553975,-0.0,36.0,-0.0,72.20845068943726,-0.0,-0.0,18.0,8.0,-0.0,10.449935834387775,24.0
4487,-0.0,1.8458,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,171.65361381876042,18.0778,-0.0,-0.0,8.0,9.0,11.271,-0.0,-0.0,131.81293675688335,-0.0,37.47112736375762,-0.0,72.97481396326383,-0.0,-0.0,18.0,8.0,-0.0,10.68782055256896,24.0
4488,-0.0,1.8502,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,166.11546435018147,18.2767,-0.0,-0.0,8.0,9.0,11.336,-0.0,-0.0,120.04793675688335,-0.0,36.0,-0.0,72.80451101352459,-0.0,-0.0,18.0,8.0,-0.0,11.07863116100948,24.0
4489,-0.0,1.826,39.45957523809529,-0.0,1.4235271428571434,-0.0,15.0,144.7740505756438,18.4093,-0.0,-0.0,8.0,9.0,11.232,-0.0,-0.0,135.0,-0.0,36.0,-0.0,71.86784478995878,-0.0,-0.0,18.0,8.0,-0.0,11.639359425293701,24.0
4490,-0.0,1.8018,53.74892714285715,-0.0,1.9692728571428566,-0.0,15.0,171.18723777636376,18.453500000000002,-0.0,-0.0,8.0,9.0,11.049999999999999,-0.0,-0.0,106.23393675688335,-0.0,36.0,-0.0,70.93117856639296,-0.0,-0.0,18.0,8.0,-0.0,12.166104158409182,24.0
