,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA solar pv,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
4586,-0.0,11.577342706124785,14.749524784450564,27.150000000000002,-0.0,-0.0,-0.0,-0.0,-0.0,121.0919334552898,-0.0,-0.0,-0.0,2.69253634292203,-0.0,-0.0,116.39999999999999,-0.0,-0.0,-0.0,58.3,-0.0,-0.0,-0.0,43.65,-0.0,-0.0,10.098726748957894,-0.0,-0.0,-0.0,33.66394889575342,-0.0
4587,-0.0,11.935839656951963,-0.0,27.750000000000004,-0.0,-0.0,-0.0,-0.0,-0.0,125.74080110165374,-0.0,-0.0,-0.0,2.7426512325534045,-0.0,-0.0,117.8,-0.0,-0.0,-0.0,59.099999999999994,-0.0,-0.0,-0.0,43.875,-0.0,-0.0,10.271354556632389,-0.0,-0.0,-0.0,33.16961778127833,-0.0
4588,-0.0,12.399776887434195,20.216334898151914,28.999999999999996,-0.0,-0.0,-0.0,-0.0,-0.0,131.05379269749827,-0.0,-0.0,-0.0,2.81098971841437,-0.0,-0.0,121.2,-0.0,-0.0,-0.0,61.199999999999996,-0.0,-0.0,-0.0,44.699999999999996,-0.0,-0.0,10.49577070660923,-0.0,-0.0,-0.0,32.675286666803245,-0.0
4589,-0.0,12.526305223020259,-0.0,29.65,-0.0,-0.0,-0.0,-0.0,-0.0,132.82478989611312,-0.0,-0.0,-0.0,2.8656605071031422,-0.0,-0.0,122.8,-0.0,-0.0,-0.0,61.8,-0.0,-0.0,-0.0,45.0,-0.0,-0.0,10.547559048911578,-0.0,-0.0,-0.0,31.98322310653812,-0.0
4590,3.0009374828272386,12.652833558606321,20.216334898151914,30.15,12.936223037962783,-0.0,0.01175,-0.0,-0.0,132.16066594663255,36.358777704909265,-0.0,-0.0,2.829213314643961,0.11622312317106022,-0.0,121.8,25.51079438888807,-0.0,-0.0,61.3,3.677655900385881,-0.0,35.910000000000004,45.0,-0.0,0.3836638399340691,10.357668460469634,-0.0,-0.0,0.60591136748285,30.994560877587947,-0.0
4591,11.458124934431277,12.863714117916427,-0.0,30.4,28.363620049637092,-0.0,-0.0,-0.0,-0.0,129.94691944836399,120.9627624089163,-0.0,-0.0,2.7790984250125863,0.42873418769768884,-0.0,120.0,91.6306084172306,-0.0,-0.0,48.910023063788906,-0.0,-0.0,118.55999999999999,45.525,-0.0,1.4118829309573742,10.288617337399838,-0.0,-0.0,2.6068279763797038,29.857599314295246,-0.0
4592,21.006562379790672,12.92697828570946,1.713326825075221,-0.0,56.46414496921221,-0.0,0.0785,-0.0,-0.0,31.7188055716434,242.3918513660618,-0.0,-0.0,2.7745425259551886,0.7954827097041455,-0.0,119.0,167.64236312697872,-0.0,-0.0,59.4,20.213322791047272,-0.0,104.03170027274162,46.05,-0.0,2.532181343564856,10.185040652795141,-0.0,-0.0,4.945927674104195,29.116102642582614,-0.0
4593,29.94117170366268,12.58956939081329,-0.0,28.599999999999998,35.833120049637095,-0.0,0.1105,-0.0,-0.0,123.74842925321207,153.56125260406824,-0.0,-0.0,2.7608748287829954,1.1596484956401343,-0.0,119.19999999999999,240.00971863831427,-0.0,-0.0,48.75220956863944,34.86111322240783,-0.0,165.60312743016428,45.6,-0.0,3.4990142201987102,10.029675625888096,-0.0,-0.0,6.8059346626562,28.81950397389756,-0.0
4594,37.307109161511356,11.72495909764186,-0.0,26.650000000000002,33.043894969212204,-0.0,0.13875,-0.0,-0.0,117.54993905806012,389.1565558887275,-0.0,-0.0,2.724427636323814,1.4230875748278708,-0.0,119.0,286.34565130384567,-0.0,-0.0,18.11168719689951,41.8333358668894,-0.0,327.75,44.099999999999994,-0.0,4.197282408878716,9.70168279130656,-0.0,-0.0,8.285485676277112,28.720637751002545,-0.0
4595,41.60390601192308,11.0079651959875,-0.0,-0.0,100.19893420996124,-0.0,-0.0,-0.0,-0.0,110.46595026360075,464.3318902731121,-0.0,-0.0,2.6606450495202463,1.578051739055951,-0.0,118.39999999999999,312.8977026065659,-0.0,-0.0,57.4,45.66422742979135,-0.0,344.84999999999997,41.23307478949107,-0.0,4.673025570396962,9.356427175957572,-0.0,-0.0,8.877306081725477,29.0172364196876,-0.0
4596,42.83156225489786,10.6072921332983,-0.0,-0.0,137.04048754021244,-0.0,0.15725,-0.0,-0.0,105.81708261723678,482.5112791255667,-0.0,-0.0,2.592306563659281,1.629706460465311,-0.0,117.6,321.7483863741393,-0.0,-0.0,57.3,44.51495996092076,-0.0,333.45,39.75,-0.0,4.703718677591687,9.045697122143482,-0.0,-0.0,9.074579550208266,29.561000645610193,-0.0
4597,40.92187476582598,10.565116021436278,-0.0,-0.0,137.85048754021244,-0.0,0.14925,-0.0,-0.0,104.71020936810251,452.9697722403279,-0.0,-0.0,2.546747573085305,1.5367279619284628,-0.0,116.39999999999999,306.12953266665676,-0.0,-0.0,57.199999999999996,40.76068622927685,-0.0,311.22,38.925000000000004,-0.0,4.404460882443113,8.786755410631741,-0.0,-0.0,8.51094106882887,29.610433757057702,-0.0
