,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen
28,-6.938893903907228e-16,2.220446049250313e-16,5.329070518200751e-15,2.7755575615628914e-17,0.0,-6.661338147750939e-16,6.661338147750939e-16,-5.329070518200751e-15,-1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
29,-6.938893903907228e-16,0.0,3.552713678800501e-15,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
30,-6.938893903907228e-16,-4.884981308350689e-15,1.7763568394002505e-14,2.7755575615628914e-17,0.0,1.4210854715202004e-14,2.4424906541753444e-15,0.0,4.440892098500626e-16,-2.220446049250313e-15,0.0,0.0,0.0,0.0,0.0,0.0
31,-2.4702462297909733e-15,-2.4424906541753444e-15,7.105427357601002e-15,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,-3.552713678800501e-15,4.440892098500626e-16,-1.3322676295501878e-15,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0
32,2.858824288409778e-15,1.7763568394002505e-15,1.5987211554602254e-14,2.498001805406602e-16,0.0,-3.019806626980426e-14,-1.1102230246251565e-15,1.4210854715202004e-14,8.881784197001252e-16,-3.9968028886505635e-15,0.0,0.0,0.0,0.0,0.0,0.0
33,2.858824288409778e-15,1.7763568394002505e-15,-1.2434497875801753e-14,-1.942890293094024e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.4424906541753444e-15,2.842170943040401e-14,-8.881784197001252e-16,-2.220446049250313e-15,0.0,0.0,0.0,0.0,0.0,0.0
34,-6.938893903907228e-16,1.7763568394002505e-15,-1.2434497875801753e-14,2.498001805406602e-16,0.0,-3.019806626980426e-14,2.4424906541753444e-15,-4.973799150320701e-14,8.881784197001252e-16,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0
35,2.858824288409778e-15,-1.2434497875801753e-14,-1.5987211554602254e-14,-1.942890293094024e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.4424906541753444e-15,7.105427357601002e-15,0.0,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0
36,2.858824288409778e-15,1.7763568394002505e-15,-1.2434497875801753e-14,2.498001805406602e-16,0.0,-5.861977570020827e-14,2.4424906541753444e-15,7.105427357601002e-15,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
37,-6.938893903907228e-16,1.7763568394002505e-15,-1.5987211554602254e-14,-1.942890293094024e-16,0.0,-3.019806626980426e-14,-4.6629367034256575e-15,-2.1316282072803006e-14,8.881784197001252e-16,2.220446049250313e-15,0.0,0.0,0.0,0.0,0.0,0.0
