,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
26,-0.0,-0.0,14.193087557603688,9.766912442396313,19.830000000000002,18.2,-0.0,-0.0,1.42,-0.0,-0.0,15.0,19.599999999999994,139.20000000000002,-0.0,-0.0,6.6,4.700000000000001,-0.0,118.8,-0.0,-0.0,41.000000000000014,-0.0,41.6,-0.0,-0.0,67.95,-0.0,38.25,-0.0,-0.0,15.8,-0.0,-0.0,-0.0,-0.0,22.9,-0.0
27,-0.0,-0.0,13.18463133640553,10.695368663594468,20.66,17.2,-0.0,-0.0,1.44,-0.0,-0.0,15.0,21.900000000000006,135.6,-0.0,-0.0,6.6,4.300000000000001,-0.0,114.8,-0.0,-0.0,43.500000000000014,-0.0,41.4,-0.0,-0.0,68.9,-0.0,36.6,-0.0,-0.0,15.9,-0.0,-0.0,-0.0,-0.0,22.8,-0.0
28,-0.0,-0.0,12.437626728110601,11.812373271889399,21.44,16.400000000000002,-0.0,-0.0,1.44,-0.0,-0.0,15.0,28.0,131.7,-0.0,-0.0,6.6,4.700000000000001,-0.0,111.00000000000001,-0.0,-0.0,48.89999999999999,-0.0,41.1,-0.0,-0.0,71.525,-0.0,35.475,-0.0,-0.0,15.9,-0.0,-0.0,-0.0,-0.0,23.5,-0.0
29,-0.0,-0.0,11.46652073732719,13.74347926267281,25.260000000000005,15.299999999999999,-0.0,-0.0,1.53,-0.0,-0.0,15.0,49.10000000000002,122.69999999999999,-0.0,-0.0,6.6,5.1,-0.0,102.8,-0.0,16.500000000000014,50.0,-0.0,44.1,-0.0,-0.0,78.75,-0.0,33.75,-0.0,-0.0,15.228464419475655,-0.0,1.8715355805243465,-0.0,-0.0,24.4,-0.0
30,-0.0,-0.0,10.644815668202765,15.835184331797235,27.30932642487047,14.6,0.15067357512953367,-0.0,1.619447949526814,0.0005520504731861196,12.06834782608695,15.0,50.0,114.60000000000001,0.5316521739130435,3.7,6.6,5.9,-0.0,93.8,1.5845906902086675,31.915409309791343,50.0,-0.0,42.715532544378696,0.24071143525526345,3.5437560203660396,80.18446601941748,5.365533980582525,31.349999999999998,-0.0,0.08071091433106385,14.659176029962547,-0.0,2.8601130557063907,-0.0,-0.0,25.5,-0.0
31,-0.0,2.514928221584191,10.346013824884794,16.58905795353101,19.57077720207254,14.649999999999999,12.129222797927461,-0.0,1.675473186119874,0.07452681388012616,8.20347826086956,15.0,50.0,110.39999999999999,25.696521739130436,3.7,6.6,7.1,-0.0,87.4,40.6051364365971,17.4948635634029,50.0,-0.0,40.051183431952666,5.00679785330948,5.742018714737853,38.937621359223286,59.78737864077671,28.875,-0.0,1.8115116327638778,14.346067415730337,-0.0,3.4424209515057864,-0.0,-0.0,28.3,-0.0
32,-0.0,5.873372741091029,10.233963133640556,16.232664125268418,9.035388601036267,15.0,27.87461139896373,-0.0,1.7840220820189274,0.19597791798107247,2.386608695652157,15.0,50.0,111.0,59.013391304347834,3.7,6.6,8.5,-0.0,84.8,80.61605136436594,2.5839486356340586,50.0,-0.0,38.24630177514793,10.085809137195538,7.667889087656533,3.795792880258915,111.6542071197411,26.849999999999998,-0.0,3.7306378179691735,14.146816479400748,-0.0,3.9225457026300794,-0.0,-0.0,31.5,-0.0
33,-0.0,8.43516297922648,9.673709677419357,16.811127343354165,0.6121761658031044,15.15,39.777823834196894,-0.0,1.745205047318612,0.2947949526813879,-0.0,15.0,36.695130434782584,111.0,86.3048695652174,-0.0,6.6,9.200000000000001,-0.0,82.0,111.51556982343496,-0.0,35.88443017656505,-0.0,36.183579881656804,13.816836383652122,8.89958373469107,-0.0,149.46844660194174,1.6315533980582586,-0.0,5.102723361597259,13.69138576779026,-0.0,4.305890870612482,-0.0,-0.0,33.4,-0.0
34,-0.0,10.106574902888022,8.403801843317973,16.469623253794005,-0.0,8.075803108808294,47.91419689119171,-0.0,1.7195110410094638,0.3604889589905362,-0.0,15.0,31.29234782608698,105.3,106.50765217391304,-0.0,6.6,9.6,-0.0,76.2,130.92680577849114,-0.0,25.673194221508865,-0.0,33.34733727810651,16.320235310306863,11.43242741158663,-0.0,154.4,-0.0,-0.0,6.044350695459672,12.865917602996255,-0.0,4.089731701544073,-0.0,1.298,32.572397037037035,0.1296029629629647
35,-0.0,10.8407464955244,7.320645161290324,17.54860834318528,-0.0,5.356269430051817,52.28373056994818,-0.0,1.718044164037855,0.39195583596214495,-0.0,15.0,31.595999999999975,98.4,118.20400000000002,-0.0,6.6,10.1,-0.0,70.19999999999999,140.8304975922953,-0.0,27.369502407704715,-0.0,30.16730769230769,17.33122333837897,13.601468969313341,-0.0,158.5,-0.0,-0.0,6.429969508374754,11.670411985018726,-0.0,5.499618506606522,-0.0,1.396,31.29697185185185,1.7070281481481482
36,1.0323020966535594,10.668919101503121,6.610990783410139,17.61778801843318,-0.0,5.800932642487048,52.35906735751295,-0.0,1.7646687697160885,0.3853312302839115,-0.0,15.0,43.37443478260869,89.1,121.92556521739131,-0.0,6.6,10.4,-0.0,64.4,140.63242375601922,-0.0,36.56757624398077,2.0520125223613626,27.073224852071004,17.475650199532126,15.399112426035508,-0.0,159.7,-0.0,-0.0,6.4210016290046354,10.218726591760298,-0.0,7.160271779235067,-0.0,1.408,30.855478518518517,2.936521481481486
37,2.349042753395903,9.80978213139672,6.013387096774195,17.61778801843318,-0.0,10.017150259067364,47.61284974093264,-0.0,1.7793848580441642,0.3406151419558358,5.766956521739104,15.0,50.0,79.2,112.53304347826088,3.7,6.6,10.299999999999999,-0.0,57.8,128.153772070626,2.746227929374001,50.0,6.997154947020778,23.6353550295858,16.368377597357917,15.399112426035508,-0.0,157.9,-0.0,0.3001977082550127,6.0353828160895535,8.59625468164794,0.9681647940074924,8.0,-0.0,1.318,30.168711111111108,3.4132888888888906
38,3.420400028952635,8.294576929572704,5.677235023041475,17.61778801843318,8.740932642487047,9.85,37.81906735751295,-0.0,1.8150157728706626,0.26498422712933745,26.90139130434781,15.0,50.0,71.7,91.79860869565219,3.7,6.6,9.799999999999999,-0.0,51.4,109.33675762439806,23.56324237560196,50.0,10.498032200357777,20.36937869822485,14.03347667538186,15.399112426035508,-0.0,132.725,19.875,2.428967043983125,5.201370034668559,7.201498127340824,0.9681647940074924,8.0,-0.0,1.138,29.77627259259259,2.8857274074074066
39,5.107196298887736,6.295130890052354,5.639884792626728,17.61778801843318,21.432227979274607,9.4,24.10777202072539,-0.0,1.923895899053628,0.1761041009463722,60.84991304347825,15.0,50.0,66.0,57.950086956521744,3.7,6.6,9.799999999999999,12.572391653290545,47.0,79.42760834670946,41.4,50.0,15.857372368239982,18.220710059171598,10.422805146552907,15.399112426035508,27.33033980582526,104.24466019417476,21.224999999999998,4.1027386770254655,3.909995405371538,6.319101123595505,0.9681647940074924,8.0,-0.0,0.852,29.825327407407404,3.1226725925925938
40,6.714481747774261,3.358444519506839,5.789285714285715,17.61778801843318,33.14217616580311,9.45,10.69782383419689,-0.0,1.882776025236593,0.0872239747634069,87.69721739130435,15.0,50.0,63.0,20.202782608695653,3.7,6.6,9.0,44.18330658105939,45.6,39.4166934189406,41.4,50.0,19.413299848630793,17.275295857988166,5.5122918673455334,15.399112426035508,71.36367313915856,51.61132686084143,23.025,5.37375910223744,2.080548013867424,5.97752808988764,0.9681647940074924,8.0,-0.0,0.462,30.07060148148148,1.7673985185185186
