,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,SaintKittsNevis Hydrogen,Montserrat Hydrogen
26,8.881784197001252e-16,0.0,0.0,1.6653345369377348e-16,0.0,0.0,7.105427357601002e-15,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8.881784197001252e-16,0.0,0.0,1.6653345369377348e-16,0.0,0.0,-1.4210854715202004e-14,-1.7763568394002505e-15,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,1.7763568394002505e-15,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,2.7755575615628914e-16,1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,-8.881784197001252e-16,-1.3322676295501878e-15,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
31,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,2.4424906541753444e-15,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,3.552713678800501e-15,-2.842170943040401e-14,-1.1102230246251565e-16,1.4210854715202004e-14,0.0,1.4210854715202004e-14,6.927791673660977e-14,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0
33,3.552713678800501e-15,-3.552713678800501e-15,-1.4210854715202004e-14,0.0,0.0,-7.105427357601002e-15,1.4210854715202004e-14,-5.684341886080802e-14,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,-7.105427357601002e-15,1.4210854715202004e-14,2.220446049250313e-16,0.0,-1.0658141036401503e-14,1.4210854715202004e-14,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3.552713678800501e-15,-1.4210854715202004e-14,1.4210854715202004e-14,0.0,-5.684341886080802e-14,-1.0658141036401503e-14,1.4210854715202004e-14,0.0,-4.574118861455645e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
