,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
1948,26.01,41.05,188.9,1.52,11.9,170.9,44.8,113.9,17.0,24.5
1949,27.95,44.56,207.0,1.66,13.1,187.4,48.5,124.9,18.5,27.1
1950,30.16,49.08,221.0,1.81,14.3,201.6,52.6,133.6,19.9,29.6
1951,32.59,52.11,239.6,1.97,15.5,218.3,57.5,145.2,22.0,31.9
1952,32.39,51.48,235.7,1.97,15.1,216.1,55.6,143.2,21.7,31.4
1953,36.17,56.96,264.8,2.17,16.9,240.5,61.9,159.8,24.3,34.6
1954,36.22,58.71,265.3,2.19,17.3,243.6,63.1,159.3,24.5,35.0
1955,37.45,59.44,269.5,2.2,17.4,247.6,63.5,165.2,25.0,36.0
1956,36.79,59.49,269.5,2.21,17.5,247.4,64.8,164.1,24.5,36.4
1957,36.63,58.74,264.2,2.16,17.1,242.8,62.2,161.2,24.0,35.7
1958,35.84,56.63,264.0,2.15,16.9,238.0,62.1,158.9,23.5,34.7
1959,34.8,55.43,252.5,2.06,16.2,231.3,60.3,150.4,22.9,33.7
1960,33.7,53.52,249.7,2.05,15.9,225.5,57.8,147.7,22.4,33.0
1961,32.98,53.11,242.6,2.0,15.6,220.9,57.8,144.0,22.0,31.9
