,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind
41,-0.0,1.2601757058332934,4.5882364168017915,10.0,-0.0,9.35,1.8504582210242595,-0.0,1.5,0.04310949303412173,135.35542382043027,15.0,14.7,56.58376025815844,3.728978158867577,3.7,6.6,8.9,-0.0,47.4,8.777886688884534,41.4,4.909382653152896,18.190181918764225,2.056296297979486,-0.0,6.841124720218842,24.525000000000002,-0.0,0.6073623953598211,5.146098031985941,8.0,-0.0,1.5858331392510117,29.507806477452807
42,-0.0,-0.0,4.956428228026626,10.0,-0.0,9.35,-0.0,-0.0,1.5,-0.0,135.35542382043027,15.0,14.7,58.23183094528927,-0.0,3.7,6.6,10.200000000000001,-0.0,51.800000000000004,-0.0,41.4,11.434736309716957,20.22112456017965,-0.0,-0.0,-0.0,26.549999999999997,1.5252208835715386,-0.0,5.6826580163636224,8.0,-0.0,-0.0,29.02722331006758
43,-0.0,-0.0,5.239652698199577,10.0,30.251199460916432,9.35,-0.0,-0.0,1.5,-0.0,3.8583367279006104,15.0,14.7,59.05586628885469,-0.0,3.7,6.6,10.4,-0.0,57.99999999999999,-0.0,41.4,7.1675677126573625,23.488293157239244,-0.0,-0.0,-0.0,29.400000000000002,0.8984354560100893,-0.0,6.6094434439250715,8.0,-0.0,-0.0,27.585473807911903
44,14.638904281810508,-0.0,5.041395569078511,10.0,-0.0,9.049999999999999,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,57.68247404957899,-0.0,3.7,6.6,9.799999999999999,-0.0,63.800000000000004,-0.0,41.4,1.5705879917502692,27.28527287814634,-0.0,-0.0,-0.0,32.4,-0.0,-0.0,7.609396142083477,8.0,-0.0,-0.0,25.518966188155442
45,-0.0,-0.0,4.418301734698021,10.0,-0.0,8.35,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,53.01294043604165,-0.0,3.7,6.6,8.6,-0.0,67.60000000000001,-0.0,18.19286414428528,-0.0,30.817347037129682,-0.0,-0.0,-0.0,34.800000000000004,-0.0,-0.0,8.389847028451012,8.0,-0.0,-0.0,23.21216698470636
46,-0.0,-0.0,3.9934650294385956,10.0,-0.0,7.199999999999999,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,46.69533613537347,-0.0,3.7,6.6,8.200000000000001,-0.0,68.0,-0.0,41.4,-0.0,32.75998782457052,-0.0,-0.0,-0.0,36.449999999999996,-0.0,-0.0,9.023963373624635,8.0,-0.0,-0.0,21.09760104821137
47,-0.0,-0.0,4.0217874764558905,10.0,-0.0,7.449999999999999,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,46.69533613537347,-0.0,3.7,6.6,7.200000000000001,-0.0,70.39999999999999,-0.0,41.4,-0.0,34.43772305008761,-0.0,-0.0,-0.0,38.175,-0.0,-0.0,9.414188816808405,8.0,-0.0,-0.0,19.848084813009784
48,-0.0,-0.0,4.3050119466288415,10.0,-0.0,9.4,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,53.836975779607066,-0.0,3.7,6.6,6.300000000000001,-0.0,72.6,-0.0,41.4,-0.0,35.32074158983345,-0.0,-0.0,-0.0,39.300000000000004,-0.0,-0.0,9.511745177604347,8.0,-0.0,-0.0,19.367501645624564
49,13.955230698384227,-0.0,4.4466241817153165,10.0,24.895417789757104,11.5,-0.0,-0.0,1.5,-0.0,37.90460582997656,15.0,14.7,61.52797231955093,-0.0,3.7,6.6,5.6,-0.0,70.19999999999999,-0.0,41.4,-0.0,34.61432675803678,-0.0,-0.0,-0.0,40.050000000000004,-0.0,-0.0,9.38979972660942,8.0,-0.0,-0.0,19.848084813009784
50,-0.0,-0.0,4.701526204870972,10.0,-0.0,12.9,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,68.94429041163966,-0.0,3.7,6.6,5.1,-0.0,66.60000000000001,-0.0,41.4,26.172918264941394,32.495082262646775,-0.0,-0.0,-0.0,40.275000000000006,-0.0,-0.0,8.926407012828694,8.0,-0.0,-0.0,21.722359165812165
