,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,Montserrat Hydrogen
28,0.0,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1.7763568394002505e-15,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-1.7763568394002505e-15,0.0,1.4210854715202004e-14,2.220446049250313e-16,1.7863488466218769e-13,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-1.7763568394002505e-15,0.0,1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0
33,3.552713678800501e-15,0.0,5.684341886080802e-14,0.0,-1.4210854715202004e-14,0.0,7.105427357601002e-15,-1.7763568394002505e-15,1.0658141036401503e-14,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0
34,3.552713678800501e-15,0.0,0.0,0.0,0.0,-7.105427357601002e-15,7.105427357601002e-15,0.0,1.7763568394002505e-15,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0
35,3.552713678800501e-15,0.0,0.0,-2.220446049250313e-16,0.0,-7.105427357601002e-15,7.105427357601002e-15,-1.7763568394002505e-15,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3.552713678800501e-15,0.0,2.842170943040401e-14,-2.220446049250313e-16,1.4210854715202004e-14,0.0,0.0,-1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3.552713678800501e-15,0.0,-2.842170943040401e-14,0.0,3.069544618483633e-12,-1.1723955140041653e-13,-2.842170943040401e-14,-1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-3.552713678800501e-15,0.0,-7.105427357601002e-13,0.0,-1.580957587066223e-13,0.0,0.0,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0
40,0.0,3.552713678800501e-15,-9.947598300641403e-14,0.0,1.9184653865522705e-13,-3.552713678800501e-15,1.4210854715202004e-14,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
