,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,SVG Electrolyzer,SVG Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,MSR Electrolyzer,MSR Fuel Cell
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-2.3743876816216427,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
55,0.0,0.0,-25.693223577181836,-15.415934146309102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
56,-22.839648245095862,-13.70378894705752,-106.97224139675747,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
57,-49.852274675549076,-29.91136480532944,-22.058070718508716,-20.906670257235263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,-3.1267281253175674,0.0,0.0,0.0,0.0,0.0
58,-57.91872347389705,-32.218341919134794,-89.9998831239053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,-3.951193151211004,0.0,0.0,0.0,0.0,0.0
59,-57.91872347389705,-32.218341919134794,-2.706209024296396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,-4.150708477430314,0.0,0.0,0.0,0.0,0.0
60,-57.91872347389705,-32.218341919134794,-65.73564941542318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
61,-57.91872347389705,-32.218341919134794,-116.92704343583245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
62,-8.892412275407596,-15.467016026058314,-116.92704343583245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,-0.09326269088388983,0.0,0.0,0.0,0.0
63,0.0,0.0,-99.91233622546024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,-16.461945078370217,0.0,-11.119290694505617,0.0,-1.3810316899703168,0.0,-2.3987960614870456,0.0,-2.161435764381907,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,-56.51151701192445,0.0,-98.82720875029234,0.0,0.0,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,-56.51151701192445,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,-4.154842142643649,0.0,0.0,0.0,0.0
