,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,MSR wind,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,BRB biomass,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind
6060,-0.0,66.71055284708875,-0.0,9.0,-0.0,-0.0,117.89218341730941,0.4540407152582744,1.35,1.314137295321486,-0.0,-0.0,15.0,13.23,-0.0,511.1512523016156,10.0,6.6,12.000000000000002,-0.0,1.698089034513225,391.8476230136696,41.4,33.6243554864088,0.8187080109468434,103.8900723114529,1.8271809035745938,-0.0,211.185,4.725,10.0,8.20032413154285,15.252812292855351,0.8433947704341491,8.0,20.286761576293074,22.74395700804782,7.16556817671064
6061,-0.0,63.48262287061671,-0.0,9.0,-0.0,-0.0,111.73716982524104,0.47158041760929265,1.35,1.245983898356675,0.00015913485427927334,88.11776619563321,15.0,13.23,0.08122361805998052,483.17101018630683,10.0,6.6,12.000000000000002,102.15385209678732,2.75939468108399,369.48675322212864,41.4,33.6243554864088,1.0299874976428032,98.31687723559777,1.8271809035745938,-0.0,197.79,5.175000000000001,10.0,8.20032413154285,14.49333616209077,0.8826224341752723,8.0,20.286761576293074,21.270664246392897,7.16556817671064
6062,-0.0,55.68179209414262,-0.0,9.0,-0.0,-0.0,97.69111316641838,0.47158041760929265,1.35,1.0904543514369778,0.0007956752262064472,-0.0,15.0,13.23,0.40611809029990253,421.06852158891434,10.0,6.6,12.000000000000002,-0.0,4.775875409568444,320.50580034541997,41.4,-0.0,1.3733166635237373,85.59856026762074,1.8271809035745938,84.37312500000002,169.575,5.925,10.0,8.20032413154285,12.594645835179314,1.0591469210103268,8.0,20.286761576293074,18.446853119887635,6.557774447436076
6063,-0.0,43.48738996080382,-0.0,9.0,-0.0,-0.0,75.91183430217647,0.47158041760929265,1.35,0.8458011315632968,0.0028644302414571614,-0.0,15.0,13.23,1.462025125079649,324.84378650943796,10.0,6.6,11.4,-0.0,7.216878396681206,245.96956770695022,41.4,-0.0,1.9279253161006313,65.59221896967934,1.8271809035745938,84.37312500000002,127.11,7.275,10.0,8.20032413154285,9.535644752933083,1.353354399068751,8.0,20.286761576293074,14.119055632526312,5.917991574515484
6064,-0.0,27.258075356874972,-0.0,9.0,-0.0,0.05302431950357474,46.71497495518552,0.47158041760929265,1.35,0.5225093767302185,0.0073202104579221765,-0.0,15.0,13.23,3.4926155765791616,197.22658466644447,10.0,6.6,11.000000000000002,-0.0,9.976273077765196,147.47526029182947,41.4,33.6243554864088,2.588173712025505,39.15526796882819,1.8271809035745938,59.485416666666424,72.96000000000001,8.85,10.0,8.20032413154285,5.674974421546459,1.6671757089977368,8.0,20.286761576293074,8.225884585906634,5.278208701594891
6065,13.453119629456026,9.056136878435435,-0.0,9.0,33.0327083881726,0.1590729585107242,14.361698381492845,-0.0,1.35,0.16601468491428348,0.010184640699379337,119.44982421904817,15.0,13.23,4.467298993298928,58.007819019542495,10.0,6.6,9.700000000000001,105.36822453250693,11.886623241592574,41.52732961286173,41.4,-0.0,3.116372428765404,10.860585276025336,1.8271809035745938,84.37312500000002,16.814999999999998,9.825000000000001,10.0,8.20032413154285,1.5822419390928788,1.9613831870561609,8.0,20.286761576293074,2.424794336890388,4.47848011044415
6066,13.453119629456026,-0.0,-0.0,9.0,33.0327083881726,0.28279637068573193,-0.0,0.47158041760929265,1.35,-0.0,0.011616855820107918,-0.0,15.0,13.23,4.629746229418889,-0.0,10.0,6.6,11.000000000000002,105.36822453250693,12.947928888163338,-0.0,41.4,-0.0,3.5389314021573237,-0.0,1.8271809035745938,84.37312500000002,-0.0,10.425,10.0,8.20032413154285,-0.0,2.2359768332440235,8.0,20.286761576293074,-0.0,3.710740662939439
6067,-0.0,-0.0,0.005706247962734091,9.0,-0.0,0.3711702365250232,-0.0,0.47158041760929265,1.35,-0.0,0.012571665900593639,119.44982421904817,15.0,13.23,4.629746229418889,-0.0,10.0,6.6,11.500000000000002,-0.0,13.160190017477492,-0.0,41.4,-0.0,3.6973910171792936,-0.0,1.8271809035745938,84.37312500000002,-0.0,10.95,10.0,8.20032413154285,-0.0,2.3928874882085163,8.0,20.286761576293074,-0.0,3.262892651895023
6068,-0.0,-0.0,0.005706247962734091,9.0,33.0327083881726,0.4241945560285979,-0.0,0.17925032351964587,1.35,-0.0,0.012571665900593639,-0.0,15.0,13.23,4.386075375238947,-0.0,10.0,6.6,11.000000000000002,-0.0,12.417276064877957,-0.0,41.4,-0.0,3.5653413379943184,-0.0,1.8271809035745938,84.37312500000002,-0.0,10.95,10.0,2.9158146283852417,-0.0,2.4321151519496396,8.0,20.286761576293074,-0.0,3.166925220956935
6069,13.453119629456026,-0.0,0.011412495925468181,9.0,33.0327083881726,0.4241945560285979,-0.0,0.2795428997482823,1.35,-0.0,0.011616855820107918,71.3057282370478,15.0,13.23,3.817510048819084,-0.0,10.0,6.6,9.799999999999999,105.36822453250693,10.825317595021808,-0.0,41.4,-0.0,3.222012172113384,-0.0,1.8271809035745938,84.37312500000002,-0.0,10.500000000000002,10.0,8.20032413154285,-0.0,2.334045992596831,8.0,20.286761576293074,-0.0,3.294881795541053
6070,13.453119629456026,-0.0,0.011412495925468181,9.0,33.0327083881726,0.3181459170214484,-0.0,-0.0,1.35,-0.0,0.008593290724371483,119.44982421904817,15.0,13.23,2.7616030140393377,-0.0,10.0,6.6,9.1,35.7742104784631,8.808836866537353,-0.0,41.4,33.6243554864088,2.7466333270474745,-0.0,1.8271809035745938,84.37312500000002,-0.0,9.675,10.0,8.20032413154285,-0.0,2.137907673891215,8.0,20.286761576293074,-0.0,3.7427298065854684
6071,-0.0,-0.0,0.01711874388820227,9.0,33.0327083881726,0.28279637068573193,-0.0,0.47158041760929265,1.35,-0.0,0.0073202104579221765,-0.0,15.0,13.23,2.1930376876194737,-0.0,10.0,5.6,9.0,-0.0,7.1107478320241295,-0.0,41.4,33.6243554864088,2.244844546144571,-0.0,1.8271809035745938,1.9066666666666805,-0.0,9.0,10.0,8.20032413154285,-0.0,1.8829278595739145,8.0,20.286761576293074,-0.0,4.382512679506061
6072,13.453119629456026,-0.0,0.02853123981367045,9.0,-0.0,0.33582069018930666,-0.0,0.47158041760929265,1.35,-0.0,0.007956750829849351,-0.0,15.0,13.23,2.111814069559493,-0.0,10.0,4.300000000000001,9.0,105.36822453250693,6.049442185453364,-0.0,41.4,33.6243554864088,1.8486955085896468,-0.0,1.8271809035745938,84.37312500000002,-0.0,8.85,10.0,8.20032413154285,-0.0,1.6867895408682982,8.0,20.286761576293074,-0.0,4.958317265134594
6073,-0.0,-0.0,0.045649983701872725,9.0,-0.0,0.4241945560285979,-0.0,0.47158041760929265,1.35,-0.0,0.009707235659136478,119.44982421904817,15.0,13.23,2.355484923739435,-0.0,10.0,4.0,9.0,105.36822453250693,5.624919926825057,-0.0,41.4,33.6243554864088,1.663825957730682,-0.0,1.8271809035745938,84.37312500000002,-0.0,9.375,10.0,8.20032413154285,-0.0,1.6671757089977368,8.0,20.286761576293074,-0.0,5.502132707117098
6074,13.453119629456026,-0.0,0.08559371944101135,9.0,33.0327083881726,0.5832675145393221,-0.0,-0.0,1.35,-0.0,0.013208206272520813,-0.0,15.0,13.23,2.8428266320993183,-0.0,10.0,3.5999999999999996,9.0,105.36822453250693,6.261703314767516,-0.0,41.4,33.6243554864088,1.7694657010786619,-0.0,1.8271809035745938,84.37312500000002,-0.0,10.575,10.0,8.20032413154285,-0.0,1.8437001958327912,8.0,20.286761576293074,-0.0,5.981969861807543
6075,-0.0,-0.0,0.14836244703108634,9.0,33.0327083881726,0.8130395657214793,-0.0,0.47158041760929265,1.35,-0.0,0.01909620160971441,119.44982421904817,15.0,13.23,3.8987336668790644,-0.0,10.0,3.1999999999999993,9.0,105.36822453250693,7.8536617846236645,-0.0,41.4,33.6243554864088,2.165614738633586,-0.0,1.8271809035745938,84.37312500000002,-0.0,11.85,10.0,7.420933821720469,-0.0,2.0790661782795303,8.0,20.286761576293074,-0.0,6.3018612982678395
6076,-0.0,-0.0,0.25678115832303405,9.0,-0.0,1.1311854827429277,-0.0,0.24167396777139194,1.35,-0.0,0.02832603222860803,119.44982421904817,15.0,13.23,5.604429646138656,-0.0,10.0,3.6999999999999993,9.0,-0.0,10.082403642422273,-0.0,41.4,-0.0,2.6409935836994953,-0.0,1.8271809035745938,84.37312500000002,-0.0,12.600000000000001,10.0,8.20032413154285,-0.0,2.334045992596831,8.0,20.286761576293074,-0.0,6.493796160144018
6077,-0.0,-0.0,0.34808112572677946,9.0,33.0327083881726,1.3786323070929432,-0.0,-0.0,1.35,-0.0,0.03548710783225093,-0.0,15.0,13.23,6.822783917038363,-0.0,10.0,4.800000000000001,9.0,-0.0,11.886623241592574,-0.0,41.4,33.6243554864088,3.0635525570914144,-0.0,1.8271809035745938,84.37312500000002,-0.0,12.600000000000001,10.0,8.20032413154285,-0.0,2.5301843113024476,8.0,20.286761576293074,-0.0,6.557774447436076
6078,-0.0,3.586588862746707,0.41655610127958853,9.0,33.0327083881726,1.5023557192679509,7.575401344084138,-0.0,1.35,0.07514348896120199,0.03914721329991454,119.44982421904817,15.0,13.23,7.147678389278284,33.43980155244214,10.0,5.6,9.0,-0.0,13.054059452820415,29.814493055387906,41.4,33.6243554864088,3.327651915461364,7.430926767806809,1.8271809035745938,-0.0,19.665000000000003,11.625,10.0,8.20032413154285,0.9915382818315374,2.6282534706552556,8.0,20.286761576293074,1.0742759720400454,6.461807016497988
6079,-0.0,20.712550682362235,0.4964435727578658,9.0,-0.0,1.6791034509465332,37.719185859085606,0.47158041760929265,1.35,0.4106679047879644,0.044080398556622415,29.002083311016165,15.0,13.23,7.716243715698148,165.15167297328568,10.0,6.4,9.0,-0.0,13.5847122761058,133.10041542583886,41.4,33.6243554864088,3.380471787135354,33.867877768657955,1.8271809035745938,84.37312500000002,76.095,10.725,10.0,8.20032413154285,5.063174205097212,2.549798143173009,8.0,20.286761576293074,6.476349431441416,6.109926436391662
6080,-0.0,38.286836109821095,0.5820372921988771,9.0,29.703697051113895,1.9088755021286905,69.12553726476777,-0.0,1.35,0.7566774586093131,0.04980925903953674,-0.0,15.0,13.23,8.366032660177993,296.18109946448754,10.0,6.6,10.000000000000002,-0.0,12.735667758849186,235.32153447288312,41.4,-0.0,3.0635525570914144,60.876438520878864,1.8271809035745938,84.37312500000002,129.96,9.75,10.0,8.20032413154285,9.008230773235457,2.2359768332440235,8.0,20.286761576293074,11.571486898831346,5.854013287223425
