,SKN MSR link,ATG GLP link,GLP DMA link,DMA MTQ link,MTQ LCA link,LCA SVG link,SVG GRD link,SVG BRB link,LCA BRB link,SKN ATG link
7703,-2.5,15.174279068503498,-14.728582433260986,-9.728582433260986,-50.1970651360237,-25.0,-25.0,16.644319691895813,-42.07946830498775,27.838408940013665
7704,-2.5,15.174279068503498,-4.699999999999999,20.0,-50.1970651360237,-25.0,-25.0,16.644319691895813,-42.07946830498775,29.679536087031266
7705,-2.5,15.174279068503498,-5.199999999999999,20.0,-50.1970651360237,-25.0,-25.0,16.644319691895813,-39.27488313290483,29.679536087031266
7706,-2.5,15.174279068503498,14.728582433260986,20.0,-47.44,-25.0,-25.0,16.644319691895813,-42.07946830498775,14.975200000000001
7707,-1.3740119047619082,15.174279068503498,14.728582433260986,20.0,-43.66799999999999,-25.0,-25.0,16.644319691895813,-42.07946830498775,29.679536087031266
7708,-1.3640119047619081,15.174279068503498,14.728582433260986,11.234934863976306,-50.1970651360237,-25.0,-25.0,16.644319691895813,-31.697065136023703,29.679536087031266
7709,-1.324011904761908,15.174279068503498,-10.583065136023716,14.716934863976284,-50.1970651360237,-25.0,-25.0,16.644319691895813,-32.797065136023704,29.679536087031266
7710,-2.5,15.174279068503498,-11.375460635121598,13.924539364878402,-50.1970651360237,-25.0,-25.0,16.644319691895813,-42.07946830498775,15.285800000000002
7711,-2.002067681752038,15.174279068503498,14.728582433260986,20.0,-50.1970651360237,-25.0,-25.0,-16.644319691895813,-42.07946830498775,13.008067681752038
7712,-1.2230119047619081,15.174279068503498,14.728582433260986,12.328716990192639,19.23853169501225,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
7713,-1.196011904761908,15.174279068503498,-1.8674290743276032,-18.467429074327605,18.296531695012256,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
7714,-1.195011904761908,15.174279068503498,14.728582433260986,-2.071417566739015,19.590531695012253,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
7715,-1.190261904761908,15.174279068503498,14.728582433260986,-2.4714175667390137,-50.1970651360237,-25.0,-1.2242272408200918,-16.644319691895813,-42.07946830498775,-29.679536087031266
7716,1.8072380952380915,15.174279068503498,-2.6999999999999993,-20.0,-50.1970651360237,-25.0,-1.5431635724025625,-16.644319691895813,-42.07946830498775,-29.679536087031266
7717,1.782988095238092,15.174279068503498,14.728582433260986,20.0,-50.1970651360237,-25.0,1.2271283665275377,-16.644319691895813,-42.07946830498775,-4.427475304089171
7718,1.669488095238092,15.174279068503498,14.728582433260986,20.0,-50.1970651360237,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-13.62892293562794
7719,1.665238095238092,15.174279068503498,14.728582433260986,-0.871417566739014,-50.1970651360237,-25.0,-25.0,-16.644319691895813,-42.07946830498775,-29.679536087031266
7720,1.7137380952380918,15.174279068503498,14.728582433260986,19.228582433260986,-50.1970651360237,-25.0,-25.0,-9.355779112033048,-42.07946830498775,8.507561904761909
7721,-1.1335119047619082,-7.37191437085084,14.728582433260986,18.528582433260986,-50.1970651360237,-25.0,-25.0,16.644319691895813,37.01893486397629,29.679536087031266
7722,-0.8640119047619081,-15.174279068503498,14.728582433260986,16.728582433260986,-50.1970651360237,-25.0,-25.0,16.644319691895813,29.202934863976303,29.679536087031266
7723,-0.8240119047619081,-15.174279068503498,14.728582433260986,16.228582433260986,-45.97946830498775,-25.0,-25.0,16.644319691895813,-42.07946830498775,29.679536087031266
7724,-0.8840119047619082,15.174279068503498,-14.728582433260986,-12.728582433260986,-47.27946830498775,-25.0,-25.0,16.644319691895813,-42.07946830498775,29.679536087031266
7725,-2.5,15.174279068503498,-14.728582433260986,-12.128582433260986,-48.77946830498775,-25.0,-25.0,16.644319691895813,-42.07946830498775,17.726084074089556
7726,-2.5,15.174279068503498,-14.728582433260986,-11.628582433260986,-50.1970651360237,-25.0,-25.0,16.644319691895813,-41.0970651360237,29.679536087031266
